wall_time,wall_elapsed,mode,cmd_u_raw,cmd_u_delayed,hw_pwm,tau_cmd,ina_current_raw_mA,ina_bus_voltage_v,ina_power_mw,ina_current_offset_mA,ina_current_corr_mA,ina_current_signed_mA,pwm_hw,theta_imu,theta_encoder,omega_imu,omega_encoder,alpha_imu,alpha_linear,alpha_encoder,theta_imu_online,theta_encoder_online,omega_imu_online,omega_encoder_online,alpha_imu_online,alpha_linear_online,alpha_encoder_online,ina_current_signed_online_mA,theta,omega,alpha,alpha_sim,hw_enc,hw_arduino_ms,theta_real,omega_real,alpha_real,J_rod,J_imu,J_total,tau_motor,tau_res,tau_visc,tau_coul,inst_cost,best_cost_so_far,imu_qw,imu_qx,imu_qy,imu_qz,imu_wx,imu_wy,imu_wz,imu_ax,imu_ay,imu_az
1776430081.5663612,0.01188802719116211,manual,0.0,0.0,0.0,0.0,28.399999618530273,15.168000221252441,430.0,28.5,-0.10000038146972656,-0.0,0.0,1.5756372949626825,0.0,0.08926559239625931,0.0,89.26559239625931,0.7976923627068118,0.0,1.5756372949626825,0.0,0.08926559239625931,0.0,89.26559239625931,0.7976923627068118,0.0,-0.0,0.0,0.0,0.0,0.0,-850.0,339237856.0,1.5756372949626825,0.08926559239625931,0.0,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,12.433085291351233,12.433085291351233,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776430081.5793457,0.024872541427612305,manual,0.0,0.0,0.0,-0.0,28.600000381469727,15.168000221252441,432.0,28.5,0.10000038146972656,0.0,0.0,1.5756372949626825,0.0,0.08926559239625931,0.0,0.0,0.7976923627068118,0.0,1.5756372949626827,0.0,0.08926559239625931,0.0,73.19778576493263,0.7976923627068119,0.0,0.0,0.0,0.0,0.0,0.0,-850.0,339237888.0,1.5756372949626825,0.08926559239625931,0.0,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,-0.0,0.0,0.0,0.0,12.433085291351233,12.433085291351233,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.679970634200094e-17,0.0
1776430081.825116,0.2706427574157715,manual,0.0,0.0,0.0,0.0,31.600000381469727,15.17199993133545,478.0,28.5,3.1000003814697266,0.0,0.0,1.5842119387596016,0.0,-0.03714577108621597,0.0,-126.41136348247528,-0.9169569732283378,0.0,1.5771807308461283,0.0,0.06651154696941376,0.0,37.268138900399215,0.48905548223848505,0.0,0.0,0.0,0.0,0.0,0.0,-850.0,339238144.0,1.5842119387596016,-0.03714577108621597,-0.32569160087816285,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,12.626339368534056,12.626339368534056,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6234123320048192e-16,0.0
1776430081.8324819,0.27800869941711426,manual,0.0,0.0,0.0,0.0,31.600000381469727,15.17199993133545,478.0,28.5,3.1000003814697266,0.0,0.0,1.583824423173399,0.0,-0.04362612962722778,0.0,-6.48035854101181,-0.883478428466205,0.0,1.578376595465037,0.0,0.04668676518201829,0.0,29.39340936094523,0.2419993783116409,0.0,0.0,0.0,0.0,0.0,0.0,-850.0,339238144.0,1.583824423173399,-0.04362612962722778,-0.11429950530934212,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,12.556402179008154,12.556402179008154,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2970838840772927e-15,0.0
1776430081.8483522,0.29387903213500977,manual,0.0,0.0,0.0,0.0,31.600000381469727,15.17199993133545,478.0,28.5,3.1000003814697266,0.0,0.0,1.5832016025886504,0.0,-0.046289291232824326,0.0,-2.6631616055965424,-0.7131786227431647,0.0,1.5792450967472875,0.0,0.02995107502734662,0.0,23.623226586967714,0.0700673381217759,0.0,0.0,0.0,0.0,0.0,0.0,-850.0,339238144.0,1.5832016025886504,-0.046289291232824326,-0.6862846769334886,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,12.86768397885904,12.86768397885904,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3722422379228877e-16,0.0
1776430081.8594904,0.30501723289489746,manual,0.0,0.0,0.0,0.0,31.600000381469727,15.17199993133545,478.0,28.5,3.1000003814697266,0.0,0.0,1.5832016025886504,0.0,-0.046289291232824326,0.0,0.0,-0.7131786227431647,0.0,1.5799572677987328,0.0,0.01622780910051585,0.0,19.371045801313528,-0.0709169348339134,0.0,0.0,0.0,0.0,0.0,0.0,-850.0,339238144.0,1.5832016025886504,-0.046289291232824326,-0.5143477738920398,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,12.723180861158836,12.723180861158836,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.78726974568511e-16,0.0
1776430081.8735025,0.3190293312072754,manual,0.0,0.0,0.0,0.0,31.399999618530273,15.168000221252441,476.0,28.5,2.8999996185302734,0.0,0.0,1.5822408581792093,0.0,-0.05223701894283295,0.0,-5.947727710008621,-0.41212059454648653,0.0,1.5803683140672187,0.0,0.003904140052713067,0.0,14.813666569275542,-0.13233359358217656,0.0,0.0,0.0,0.0,0.0,0.0,-850.0,339238176.0,1.5822408581792093,-0.05223701894283295,-0.3631680743698724,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,12.616576166997554,12.616576166997554,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1142165103137744e-15,0.0
1776430081.887234,0.3327608108520508,manual,0.0,0.0,0.0,0.0,31.399999618530273,15.17199993133545,476.0,28.5,2.8999996185302734,0.0,0.0,1.5808031524999948,0.0,-0.04744332656264305,0.0,4.793692380189896,-0.2500905227445358,0.0,1.5804465849851186,0.0,-0.005338403938051033,0.0,13.010071215240126,-0.15352984083140123,0.0,0.0,0.0,0.0,0.0,0.0,-850.0,339238208.0,1.5808031524999948,-0.04744332656264305,-0.5143477738920383,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,12.685507750613318,12.685507750613318,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.579912088950335e-16,0.0
1776430081.900322,0.34584879875183105,manual,0.0,0.0,0.0,0.0,31.399999618530273,15.17199993133545,476.0,28.5,2.8999996185302734,0.0,0.0,1.5803420528030774,0.0,-0.05081666260957718,0.0,-3.373336046934128,-0.5555140130963423,0.0,1.5804277691923514,0.0,-0.01352449049892574,0.0,10.061057908048761,-0.2258869918390906,0.0,0.0,0.0,0.0,0.0,0.0,-850.0,339238208.0,1.5803420528030774,-0.05081666260957718,-0.38941906861537784,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,12.60001389998705,12.60001389998705,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.627158770546886e-17,0.0
1776430081.913762,0.35928893089294434,manual,0.0,0.0,0.0,0.0,31.299999237060547,15.17199993133545,472.0,28.5,2.799999237060547,0.0,0.0,1.5803420528030774,0.0,-0.05081666260957718,0.0,0.0,-0.5555140130963423,0.0,1.5804123402422823,0.0,-0.020237081478842997,0.0,8.250067484599985,-0.2852198556653959,0.0,0.0,0.0,0.0,0.0,0.0,-850.0,339238208.0,1.5803420528030774,-0.05081666260957718,-0.5143477738920379,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,12.67904839504155,12.67904839504155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.098873000427312e-16,0.0
