wall_time,wall_elapsed,mode,cmd_u_raw,cmd_u_delayed,hw_pwm,tau_cmd,ina_current_raw_mA,ina_bus_voltage_v,ina_power_mw,ina_current_offset_mA,ina_current_corr_mA,ina_current_signed_mA,pwm_hw,theta_imu,theta_encoder,omega_imu,omega_encoder,alpha_imu,alpha_linear,alpha_encoder,theta_imu_online,theta_encoder_online,omega_imu_online,omega_encoder_online,alpha_imu_online,alpha_linear_online,alpha_encoder_online,ina_current_signed_online_mA,theta,omega,alpha,alpha_sim,hw_enc,hw_arduino_ms,theta_real,omega_real,alpha_real,J_rod,J_imu,J_total,tau_motor,tau_res,tau_visc,tau_coul,inst_cost,best_cost_so_far,imu_qw,imu_qx,imu_qy,imu_qz,imu_wx,imu_wy,imu_wz,imu_ax,imu_ay,imu_az
1776430028.7527723,0.012458562850952148,manual,0.0,0.0,0.0,0.0,28.600000381469727,15.17199993133545,430.0,28.399999618530273,0.20000076293945312,0.0,0.0,1.5708163058544073,0.0,-0.0027022259309887886,0.0,-2.7022259309887886,0.22953492315773616,0.0,1.5708163058544073,0.0,-0.0027022259309887886,0.0,-2.7022259309887886,0.22953492315773616,0.0,0.0,0.0,0.0,0.0,0.0,-435.0,339185056.0,1.5708163058544073,-0.0027022259309887886,0.0,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,12.33733758875289,12.33733758875289,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776430028.7663813,0.026067495346069336,manual,0.0,0.0,0.0,0.0,28.5,15.17199993133545,432.0,28.399999618530273,0.10000038146972656,0.0,0.0,1.5708213675167488,0.0,-0.003589946310967207,0.0,-0.8877203799784184,-0.053114005313382506,0.0,1.570817216953629,0.0,-0.002862015599384904,0.0,-2.375614931806922,0.1786581160329348,0.0,0.0,0.0,0.0,0.0,0.0,-435.0,339185056.0,1.5708213675167488,-0.003589946310967207,-0.007247857082895373,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,12.33746783452484,12.33746783452484,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.64816848022084e-16,0.0
1776430029.0170813,0.2767674922943115,manual,0.0,0.0,0.0,0.0,28.5,15.17199993133545,430.0,28.399999618530273,0.10000038146972656,0.0,0.0,1.5708067141632407,0.0,-0.0026134538929909468,0.0,0.9764924179762602,-0.0420674520757629,0.0,1.5708153264513591,0.0,-0.002817274492233992,0.0,-1.7722356088459492,0.13892751377336923,0.0,0.0,0.0,0.0,0.0,0.0,-435.0,339185344.0,1.5708067141632407,-0.0026134538929909468,0.00022390979672864318,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,12.33718577674963,12.33718577674963,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0379279001357225e-16,0.0
1776430029.0180438,0.27772998809814453,manual,0.0,0.0,0.0,0.0,28.5,15.17199993133545,430.0,28.399999618530273,0.10000038146972656,0.0,0.0,1.5708067141632407,0.0,-0.0026134538929909468,0.0,0.0,-0.0420674520757629,0.0,1.570813776239498,0.0,-0.0027805867843702444,0.0,-1.4532331992536784,0.10634841992052546,0.0,0.0,0.0,0.0,0.0,0.0,-435.0,339185344.0,1.5708067141632407,-0.0026134538929909468,-0.006382287406998469,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,12.337214255169494,12.337214255169494,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0899761915836876e-14,0.0
1776430029.0322106,0.2918968200683594,manual,0.0,0.0,0.0,0.0,28.5,15.17199993133545,430.0,28.399999618530273,0.10000038146972656,0.0,0.0,1.5708067141632407,0.0,-0.0026134538929909468,0.0,0.0,-0.0420674520757629,0.0,1.5708125050657717,0.0,-0.002750502863921971,0.0,-1.1916512233880163,0.07963356296119356,0.0,0.0,0.0,0.0,0.0,0.0,-435.0,339185344.0,1.5708067141632407,-0.0026134538929909468,0.029054642586777524,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,12.337776662233804,12.337776662233804,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8265512528312364e-17,0.0
1776430029.0452263,0.3049125671386719,manual,0.0,0.0,0.0,0.0,28.5,15.17199993133545,430.0,28.399999618530273,0.10000038146972656,0.0,0.0,1.570804891439992,0.0,-0.0014594176318496466,0.0,1.1540362611413002,0.22140130237444566,0.0,1.5708111346131315,0.0,-0.002518107522148953,0.0,-0.7694274761727394,0.10515175605557894,0.0,0.0,0.0,0.0,0.0,0.0,-435.0,339185344.0,1.570804891439992,-0.0014594176318496466,0.0038950635415359253,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,12.337155979672579,12.337155979672579,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.330335374781808e-16,0.0
1776430029.0589433,0.31862950325012207,manual,0.0,0.0,0.0,0.0,28.700000762939453,15.175999641418457,436.0,28.399999618530273,0.3000011444091797,0.0,0.0,1.5707906487238144,0.0,-0.0023471377789974213,0.0,-0.8877201471477747,0.09315916543016556,0.0,1.5708074471530544,0.0,-0.0024873329683816774,0.0,-0.7907201569482458,0.10299308974300454,0.0,0.0,0.0,0.0,0.0,0.0,-435.0,339185344.0,1.5707906487238144,-0.0023471377789974213,-0.01714321941615395,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,12.337135806210657,12.337135806210657,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8969871936584462e-16,0.0
1776430029.0730507,0.3327369689941406,manual,0.0,0.0,0.0,0.0,28.399999618530273,15.17199993133545,430.0,28.399999618530273,0.0,0.0,0.0,1.570771547457912,0.0,-0.0033236301969736814,0.0,-0.9764924179762602,-0.05390179536630768,0.0,1.5708009852079288,0.0,-0.0026378664695282383,0.0,-0.8241591639332885,0.07475201042332835,0.0,0.0,0.0,0.0,0.0,0.0,-435.0,339185408.0,1.570771547457912,-0.0033236301969736814,0.003895063541535982,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,12.336654507874828,12.336654507874828,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.533421653145192e-16,0.0
1776430029.0853946,0.3450808525085449,manual,0.0,0.0,0.0,0.0,28.399999618530273,15.17199993133545,430.0,28.399999618530273,0.0,0.0,0.0,1.570771547457912,0.0,-0.0033236301969736814,0.0,0.0,-0.05390179536630768,0.0,1.5707956864129258,0.0,-0.002761303940468418,0.0,-0.6758105144252966,0.05159432538119387,0.0,0.0,0.0,0.0,0.0,0.0,-435.0,339185408.0,1.570771547457912,-0.0033236301969736814,-0.01337603376257294,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,12.336769130606285,12.336769130606285,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.323986801063355e-16,0.0
1776430029.099157,0.3588433265686035,manual,0.0,0.0,0.0,0.0,28.399999618530273,15.17199993133545,430.0,28.399999618530273,0.0,0.0,0.0,1.5708045900477496,0.0,-0.0016369614750146866,0.0,1.6866687219589949,0.1684142377700084,0.0,1.5707972890671942,0.0,-0.0025589222966867463,0.0,-0.2505642518761242,0.0726219096111805,0.0,0.0,0.0,0.0,0.0,0.0,-435.0,339185408.0,1.5708045900477496,-0.0016369614750146866,0.003895063541535858,0.0013604166666666665,9.427083333333333e-06,0.0013698437499999998,0.0,0.0,0.0,0.0,12.337152619746565,12.337152619746565,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.411657482094448e-16,0.0
