wall_time,wall_elapsed,mode,cmd_u_raw,cmd_u_delayed,hw_pwm,tau_cmd,ina_current_raw_mA,ina_bus_voltage_v,ina_power_mw,ina_current_offset_mA,ina_current_corr_mA,ina_current_signed_mA,pwm_hw,theta_imu,theta_encoder,omega_imu,omega_encoder,alpha_imu,alpha_linear,alpha_encoder,theta_imu_online,theta_encoder_online,omega_imu_online,omega_encoder_online,alpha_imu_online,alpha_linear_online,alpha_encoder_online,ina_current_signed_online_mA,theta,omega,alpha,hw_enc,hw_arduino_ms,theta_real,omega_real,alpha_real,J_rod,J_imu,J_total,tau_motor,tau_res,tau_visc,tau_coul,inst_cost,best_cost_so_far,imu_qw,imu_qx,imu_qy,imu_qz,imu_wx,imu_wy,imu_wz,imu_ax,imu_ay,imu_az
1775489739.184277,0.012070417404174805,manual,0.0,0.0,0.0,0.0,28.399999618530273,15.600000381469727,442.0,28.700000762939453,-0.3000011444091797,-0.0,0.0,0.0,0.0,0.0016387321520596743,0.0,1.6387321520596743,0.11589027078879077,0.0,0.0,0.0,0.0016387321520596743,0.0,1.6387321520596743,0.11589027078879077,0.0,-0.0,0.0,0.0,0.0,-413.0,120676408.0,0.0,0.0016387321520596743,0.0,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,6.7136076654853284e-06,6.7136076654853284e-06,1.0,-1.301483151065523e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775489739.1977575,0.02555084228515625,manual,0.0,0.0,0.0,0.0,28.899999618530273,15.600000381469727,446.0,28.700000762939453,0.1999988555908203,0.0,0.0,0.0,0.0,0.0016387321520596743,0.0,0.0,0.11589027078879077,0.0,0.0,0.0,0.0016387321520596743,0.0,1.343760364688933,0.11589027078879077,0.0,0.0,0.0,0.0,0.0,-413.0,120676416.0,0.0,0.0016387321520596743,0.0,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,6.7136076654853284e-06,6.7136076654853284e-06,1.0,-8.163145614605169e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.021911650418526447,3.354855155824213e-15
1775489739.4651468,0.2929401397705078,manual,0.0,0.0,0.0,0.0,29.0,15.595999717712402,452.0,28.700000762939453,0.2999992370605469,0.0,0.0,8.756056361702846e-05,0.0,0.0030590845271945,0.0,1.4203523751348257,-0.1297289955142258,0.0,1.5760901451065122e-05,0.0,0.001894395579583943,0.0,1.3575469265691937,0.0716788028542478,0.0,0.0,0.0,0.0,0.0,-413.0,120676704.0,8.756056361702846e-05,0.0030590845271945,0.003371319540766278,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,3.138938643497343e-05,3.138938643497343e-05,1.0,1.4987665712640526e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.00010115920449039327,-8.176802541261392e-16
1775489739.4771087,0.3049020767211914,manual,0.0,0.0,0.0,0.0,29.0,15.595999717712402,452.0,28.700000762939453,0.2999992370605469,0.0,0.0,8.756056361702846e-05,0.0,0.0030590845271945,0.0,0.0,-0.1297289955142258,0.0,2.8684840640938525e-05,0.0,0.002104039590153843,0.0,1.1131884797867388,0.03542539914792256,0.0,0.0,0.0,0.0,0.0,-413.0,120676704.0,8.756056361702846e-05,0.0030590845271945,0.0011804281776025844,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,2.4408717100541363e-05,2.4408717100541363e-05,1.0,-1.2676866810988412e-19,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006029231177460465,1.4702695906294063e-14
1775489739.491128,0.3189213275909424,manual,0.0,0.0,0.0,0.0,29.0,15.595999717712402,452.0,28.700000762939453,0.2999992370605469,0.0,0.0,9.749874128450742e-05,0.0,0.0015499601140618324,0.0,-1.5091244131326675,0.07991609523076848,0.0,4.1071342756780925e-05,0.0,0.002004305284457281,0.0,0.6411721590612458,0.043433724442834824,0.0,0.0,0.0,0.0,0.0,-413.0,120676704.0,9.749874128450742e-05,0.0015499601140618324,0.007246269383379983,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,4.2809364894273816e-05,4.2809364894273816e-05,1.0,-2.7247639161153394e-20,0.0,0.0,0.0,0.0,0.0,0.0,-8.842665517168966e-05,-7.157464027710213e-15
1775489739.5071676,0.3349609375,manual,0.0,0.0,0.0,0.0,28.700000762939453,15.595999717712402,448.0,28.700000762939453,0.0,0.0,0.0,8.23135314995671e-05,0.0,0.0026152245700359344,0.0,1.065264455974102,0.05225950378582089,0.0,4.849493673048244e-05,0.0,0.002114270755861439,0.0,0.71750877250556,0.045022364724572314,0.0,0.0,0.0,0.0,0.0,-413.0,120676760.0,8.23135314995671e-05,0.0026152245700359344,0.005311926799211666,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,3.688397289076691e-05,3.688397289076691e-05,1.0,1.6112926008225083e-20,0.0,0.0,0.0,0.0,0.0,0.0,8.81988724752187e-06,-7.675552483172081e-16
1775489739.5172005,0.34499382972717285,manual,0.0,0.0,0.0,0.0,28.700000762939453,15.595999717712402,448.0,28.700000762939453,0.0,0.0,0.0,8.23135314995671e-05,0.0,0.0026152245700359344,0.0,0.0,0.05225950378582089,0.0,5.458228378891768e-05,0.0,0.0022044424424128486,0.0,0.5883571934545593,0.04632504975559706,0.0,0.0,0.0,0.0,0.0,-413.0,120676760.0,8.23135314995671e-05,0.0026152245700359344,0.0037206406989878076,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,2.6822593514313883e-05,2.6822593514313883e-05,1.0,-1.0732109004434868e-19,0.0,0.0,0.0,0.0,0.0,0.0,4.536326653825303e-06,3.549756366509145e-15
1775489739.5318937,0.35968708992004395,manual,0.0,0.0,0.0,0.0,28.700000762939453,15.595999717712402,448.0,28.700000762939453,0.0,0.0,0.0,6.776883763448538e-05,0.0,0.0019938203040510416,0.0,-0.6214042659848928,-0.03289090650670401,0.0,5.6955863481119864e-05,0.0,0.0021665304575077234,0.0,0.37060013075545795,0.03206617762838287,0.0,0.0,0.0,0.0,0.0,-413.0,120676760.0,6.776883763448538e-05,0.0019938203040510416,0.005311926799211799,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,2.971285801301627e-05,2.971285801301627e-05,1.0,5.977839296859327e-20,0.0,0.0,0.0,0.0,0.0,0.0,-1.0261796952966187e-07,-4.201030680752407e-15
1775489739.5442028,0.3719961643218994,manual,0.0,0.0,0.0,0.0,28.700000762939453,15.595999717712402,448.0,28.700000762939453,0.0,0.0,0.0,6.50734531675301e-05,0.0,0.0021713641472160816,0.0,0.17754384316504002,0.08241789462947757,0.0,5.841702962467371e-05,0.0,0.002167400521655228,0.0,0.3358499989891827,0.041129486688579915,0.0,0.0,0.0,0.0,0.0,-413.0,120676760.0,6.50734531675301e-05,0.0021713641472160816,0.004005581736217973,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,2.303950795294038e-05,2.303950795294038e-05,1.0,9.830283812053019e-20,0.0,0.0,0.0,0.0,0.0,0.0,-1.1784674498312455e-07,-1.8612929318856928e-17
1775489739.5577674,0.3855607509613037,manual,0.0,0.0,0.0,0.0,28.700000762939453,15.600000381469727,448.0,28.700000762939453,0.0,0.0,0.0,6.50734531675301e-05,0.0,0.0021713641472160816,0.0,0.0,0.08241789462947757,0.0,5.961518586238787e-05,0.0,0.002168113974256182,0.0,0.27539699917112986,0.048561400117941494,0.0,0.0,0.0,0.0,0.0,-413.0,120676776.0,6.50734531675301e-05,0.0021713641472160816,0.005311926799211583,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,3.155982484520184e-05,3.155982484520184e-05,1.0,-5.616861026603922e-20,0.0,0.0,0.0,0.0,0.0,0.0,-3.066863728355756e-09,1.9682107379514524e-15
