wall_time,wall_elapsed,mode,cmd_u_raw,cmd_u_delayed,hw_pwm,tau_cmd,theta,omega,alpha,hw_enc,hw_arduino_ms,theta_real,omega_real,alpha_real,J_rod,J_imu,J_total,tau_motor,tau_res,tau_visc,tau_coul,inst_cost,best_cost_so_far,imu_qw,imu_qx,imu_qy,imu_qz,imu_wx,imu_wy,imu_wz,imu_ax,imu_ay,imu_az
1775014281.9276848,1.0013058185577393,manual,0.0,0.0,0.0,0.05333688832378788,-0.17452492140005135,0.008003799381599317,0.007993361501811532,-1820.0,136824032.0,-1.5707963267948966,-0.001223278697580099,0.0,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,9.748126760720849,9.748126760720849,0.9961950468723083,-1.6113222967514836e-20,-1.5533887286007274e-21,-0.087151756075706,0.0,0.0,0.008003799381599317,0.0,0.0,0.0
1775014281.9384818,1.0121028423309326,manual,0.0,0.0,0.0,0.05333446726460965,-0.17450891416043413,0.01600723961721232,0.7412635559332367,-1820.0,136824032.0,-1.5707963267948966,-0.001223278697580099,0.0,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,10.133465081859049,10.133465081859049,0.9961957443699225,-3.4977617248850845e-20,-3.178165373078624e-21,-0.08714378290650432,0.0,0.0,0.01600723961721232,0.19126128200446801,-0.006363185712689787,-6.49089403646441e-13
1775014282.165951,1.2395720481872559,manual,0.0,0.0,0.0,0.053329625244641375,-0.1744849042090128,0.024009951421311442,0.03518151731339797,-1820.0,136824400.0,-1.5709426808046822,-0.0032650353386998177,-0.005712815853913983,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,9.753502063869139,9.753502063869139,0.996196790457134,1.4875244368715014e-19,1.3161576900557945e-20,-0.08713182359451083,0.0,0.0,0.024009951421311442,0.009077630516345012,-0.0014810821825388548,6.084164486072615e-14
1775014282.1672435,1.2408645153045654,manual,0.0,0.0,0.0,0.05332236246373124,-0.1744528926358835,0.03201157312937148,6.190967337502869,-1820.0,136824416.0,-1.5709426808046822,-0.0032650353386998177,-0.0016319944442856375,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,36.597830280283844,36.597830280283844,0.9961981849428999,7.894712235554118e-20,7.190873816348143e-21,-0.08711587867014607,0.0,0.0,0.03201157312937148,1.59743052262592,-0.28701951587051977,-5.387918386591351e-12
1775014282.177771,1.251392126083374,manual,0.0,0.0,0.0,0.05331267922089142,-0.17441288089408505,0.04001174179841675,0.7599225348593909,-1820.0,136824416.0,-1.5709398120473896,-0.002821174915879965,-0.012308280931589944,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,10.173462297068014,10.173462297068014,0.9961999275725651,-8.694653505583996e-20,-7.620045030144396e-21,-0.087095948840436,0.0,0.0,0.04001174179841675,0.1960830946027946,-0.03464475419838512,-9.677667949568983e-13
1775014282.1875172,1.2611382007598877,manual,0.0,0.0,0.0,0.05330057591469866,-0.1743648707998457,0.048010094239314294,0.8206742413099055,-1820.0,136824416.0,-1.5709398120473896,-0.002821174915879965,-0.009061288371997536,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,10.240490111864279,10.240490111864279,0.9962020180278945,-5.618644414968284e-20,-4.954306105676942e-21,-0.08707203498914214,0.0,0.0,0.048010094239314294,0.21176335906727986,-0.037247302937414906,1.4110613151024144e-12
1775014282.1973662,1.2709872722625732,manual,0.0,0.0,0.0,0.05328605304338752,-0.17430886453248673,0.056006267358955114,0.8118707552747996,-1820.0,136824416.0,-1.5709384099883625,-0.001312050735577941,-0.006329071371196629,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,10.229699579600876,10.229699579600876,0.9962044559271312,-1.3178927615647832e-19,-1.1669152040780379e-20,-0.08704413817672331,0.0,0.0,0.056006267358955114,0.20949706009242097,-0.036827294673196904,-3.355262446385906e-13
1775014282.2079213,1.2815423011779785,manual,0.0,0.0,0.0,0.05326911120484442,-0.17424486463432237,0.0639998981643635,0.7573291242946306,-1820.0,136824416.0,-1.5709468354715932,-0.0032650353386998177,-0.008905781863562069,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,10.176174556892189,10.176174556892189,0.9962072408250653,-1.0251197489947111e-19,-9.02795366186423e-21,-0.0870122596402972,0.0,0.0,0.0639998981643635,0.19542879124654913,-0.034324824303495385,6.548112989046819e-13
1775014282.2176218,1.2912428379058838,manual,0.0,0.0,0.0,0.05324975109660521,-0.17417287401055517,0.07199062376722379,0.8237405647744818,-1820.0,136824416.0,-1.5709356496467317,-0.0011345066595822573,-0.006709977058767033,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,10.250853140466019,10.250853140466019,0.9962103722131138,-1.3254783495636968e-19,-1.1639441557410275e-20,-0.08697640079360146,0.0,0.0,0.07199062376722379,0.21257345022179835,-0.037293967102570894,3.5710621445333094e-13
1775014282.2284334,1.3020544052124023,manual,0.0,0.0,0.0,0.053227973515855974,-0.17409289592915664,0.07997808139853532,0.7387881335665092,-1820.0,136824464.0,-1.570942815506255,-0.002466087229549885,-0.008918349887530585,0.005415,0.0012479314437106258,0.006662931443710626,0.0,0.0,0.0,0.0,10.164286581244118,10.164286581244118,0.9962138495194125,5.016412253157938e-21,4.718324019926927e-22,-0.08693656322694962,0.0,0.0,0.07997808139853532,0.19065797966549194,-0.0334064821992596,-1.9365765224215333e-12
