wall_elapsed,I_filtered_mA,theta_imu_filtered_unwrapped,omega_imu_filtered,alpha_from_linear_accel_filtered
0.011523008346557617,-0.0,1.5711294112454792,-0.0026134538929909468,-2.6134538929909468
0.02345728874206543,-0.0,1.571128280231537,-0.002773243519477547,-2.302821818739176
0.25209665298461914,0.0,1.57112564855856,-0.0031119975402019925,-2.096040418371558
0.26358699798583984,0.0,1.571123490586719,-0.003389775837196038,-1.7187531430646779
0.27718234062194824,0.0,1.5711217210498094,-0.0036175540407311552,-1.409377577313036
0.2912631034851074,0.0,1.571132134942203,-0.0031332157280043304,-0.4845731737710688
0.3034970760345459,0.0,1.57113783115746,-0.0029278058298246408,-0.5890975207485831
0.31712770462036133,0.0,1.5711398719138598,-0.00280730661383613,-0.5309968675326728
0.3303341865539551,0.0,1.5711415453341078,-0.002708497256725551,-0.43541743137679173
0.343963623046875,0.0,1.57114493813472,-0.0026114946170552643,-0.3410633268893577
0.3568251132965088,0.0,1.571147720231222,-0.0025319524525256295,-0.2796719280492733
0.37005043029785156,0.0,1.5711492628339125,-0.0023069382511247296,-0.06954135451380469
0.38338494300842285,0.0,1.5711505277681188,-0.0021224266059759918,-0.05702391070131985
0.39726972579956055,0.0,1.5711515650141679,-0.0019711270569540266,-0.046759606775082285
0.41005945205688477,0.0,1.571152415555928,-0.0018470614267560152,-0.03834287755556748
0.42378759384155273,0.0,1.5711531130001715,-0.001745327609993646,-0.031441159595565336
0.4367704391479492,0.0,1.571153684904451,-0.001661905880248503,-0.025781750868363578
0.450763463973999,0.0,1.5711541538659601,-0.001593500061857486,-0.021141035712058137
0.4635601043701172,0.0,1.5711545384143977,-0.001537407290776852,-0.017335649283887675
0.4769301414489746,0.0,1.5711548537441165,-0.0014914112184907322,-0.014215232412787895
0.4903128147125244,0.0,1.571155112314486,-0.0014536944392161137,-0.011656490578486075
0.5033872127532959,0.0,1.571155324342189,-0.0014227666802109264,-0.009558322274358582
0.5174572467803955,0.0,1.5711554982049054,-0.0013974059178266732,-0.007837824264974038
0.5303027629852295,0.0,1.5711556407723328,-0.0013766100926715856,-0.006427015897278712
0.5439109802246094,0.0,1.5711557576776234,-0.0013595575160444138,-0.005270153035768544
0.5573327541351318,0.0,1.5711558535399617,-0.0013455744032101328,-0.004321525489330206
0.5705687999725342,0.0,1.571150593305961,-0.001653687545568737,-0.3231229457839655
0.5843808650970459,0.0,1.5711511913294087,-0.002130045858057354,-0.48866635129741315
0.597987174987793,0.0,1.571164701219924,-0.0023289120722226817,-0.20895880598854044
0.6102249622344971,0.0,1.5711797118123918,-0.0022842557989233,0.036380348004346724
0.6239457130432129,0.0,1.5711920204982155,-0.0022476376548178074,0.029831885363564316
0.6382696628570557,0.0,1.5712081645012272,-0.002169673876132469,0.07239904651695733
0.6507298946380615,0.0,1.571221402583697,-0.0021057435776104913,0.05936721814390502
0.6635770797729492,0.0,1.5712362694494009,-0.002213110401218585,-0.11110854951811319
0.6776654720306396,0.0,1.571248460279278,-0.002301151196577222,-0.09110901060485282
0.6905338764190674,0.0,1.5712656200998096,-0.002277470889643151,0.021164370432174007
0.704082727432251,0.0,1.571277821232742,-0.0022260951042779894,0.04931271743360575
0.7170534133911133,0.0,1.571287826161747,-0.002183966960278557,0.040436428295556714
0.730172872543335,0.0,1.5712963681045844,-0.0022612746081667875,-0.07869485476540836
0.7440671920776367,0.0,1.5713033724977112,-0.0023246668794351362,-0.06452978090763485
0.7579596042633057,0.0,1.5713091161000752,-0.002376648541875182,-0.05291442034426058
0.7707147598266602,0.0,1.5713020608062371,-0.002323399704038351,0.0524839763553755
0.7844603061676025,0.0,1.57129627546529,-0.0022797356570121493,0.043036860611407914
0.7971351146697998,0.0,1.5712915314857132,-0.002243931138450664,0.03529022570135449
0.8104043006896973,0.0,1.5712876414224604,-0.0022145714332302458,0.028937985075110684
0.8235654830932617,0.0,1.571277842647281,-0.0022384334173778534,-0.024207794666759687
0.8379542827606201,0.0,1.571269807651634,-0.0022580002443788917,-0.019850391626742944
0.8511898517608643,0.0,1.571265013177701,-0.0024338346690063427,-0.17606694762052866
0.8641834259033203,0.0,1.571257299517388,-0.002657913689489394,-0.22426968933737532
0.8771719932556152,0.0,1.571245962402268,-0.0028736165037837507,-0.21585916275490255
0.8906950950622559,0.0,1.5712446420762136,-0.0026829765741940583,0.1905117238520451
0.904085636138916,0.0,1.571243559408849,-0.0025266518319305106,0.156219613558677
0.9171872138977051,0.0,1.57124267162161,-0.0023984655432744014,0.12810008311811516
0.9312839508056641,0.0,1.5712365393498258,-0.002421184479383768,-0.02278962465052195
0.9435768127441406,0.0,1.5712312080350557,-0.0023119823141860727,0.10914420059394839
0.9570591449737549,0.0,1.5712279671596614,-0.002462120999408619,-0.1501862161976194
0.9713077545166016,0.0,1.571225973838777,-0.002697087489168388,-0.23500546515932863
0.9835977554321289,0.0,1.571222728203367,-0.0026340965413376143,0.06295898800313499
0.9972248077392578,0.0,1.5712207262945532,-0.00258244396411638,0.05162637016257069
1.0111968517303467,0.0,1.5712210579255652,-0.0025081309171157444,0.07429155721253103
1.024280071258545,0.0,1.5712213298629951,-0.0024471942185752232,0.06091907691427545
1.0372953414916992,0.0,1.5712215528516877,-0.002397226125771996,0.04995364306970587
1.0509390830993652,0.0,1.5712251199728064,-0.0025000629912298533,-0.10284871423934495
1.063507080078125,0.0,1.5712302113615197,-0.0027441788473918957,-0.24412557216286232
1.0776960849761963,0.0,1.5712376996556714,-0.0024649849280754563,0.2791859521957671
1.0903410911560059,0.0,1.5712438400568758,-0.002236045914235976,0.22893248080052903
1.1036698818206787,0.0,1.5712482156185676,-0.002288000383572259,-0.05195982642822328
1.117283821105957,0.0,1.5712550801518108,-0.0022986451147487884,-0.010649123991920029
1.1303119659423828,0.0,1.5712607090690702,-0.0023073737943135426,-0.008732281673374424
1.1444811820983887,0.0,1.571260949604987,-0.0024583420131131448,-0.1509711725286708
1.1575441360473633,0.0,1.5712567672082962,-0.0023903883504534803,0.0679512406018283
1.170921802520752,0.0,1.5712552035017429,-0.002606308825255467,-0.21592246088941267
1.1844725608825684,0.0,1.571255211589821,-0.002623573904287465,-0.017266707623687233
1.1970922946929932,0.0,1.5712552182220452,-0.002637731269093703,-0.014158700251423533
1.2111246585845947,0.0,1.5712523298253958,-0.0025854244408763725,0.05230573315227882
1.2234785556793213,0.0,1.5712500930375084,-0.00252655387489855,0.05886966802448017
1.2376747131347656,0.0,1.571249826779403,-0.0024623010439571236,0.06425209461968527
1.250593900680542,0.0,1.5712478826187086,-0.0026972350837886462,-0.23493464361534977
1.2635688781738281,0.0,1.5712462884069391,-0.0028898809964504942,-0.19264640776458683
1.277237892150879,0.0,1.5712337849005678,-0.00277620825046933,0.11367233999691895
1.2907323837280273,0.0,1.5712311169225925,-0.002730933541193125,0.0452743763691231
1.3038675785064697,0.0,1.571228929180653,-0.0026938082795866375,0.037124988622680946
1.316969871520996,0.0,1.571224134633769,-0.002759239324197471,-0.06543126845755495
1.3309974670410156,0.0,1.5712243309053044,-0.0024453765434672894,0.3138625971758701
1.3438551425933838,0.0,1.5699317271619082,-0.20553631428398422,-203.0909378910315
1.3569881916046143,0.0,1.5688717920923232,-0.3720708832312081,-166.53456907064583
1.3703155517578125,0.0,1.564742622830828,-0.6331213433581722,-261.0504602281701
1.3841898441314697,95.90399780273437,1.558183881912063,-0.8417658600818383,-208.64451680665516
1.3973956108093262,207.12527600097656,1.5388841457904343,-1.2237287782392143,-381.96291822542696
1.4107606410980225,279.48072192626955,1.5170610678789356,-1.616609463161649,-392.8806849782364
1.4241790771484375,338.81218758500984,1.4991661439915065,-1.9387716247980453,-322.16216168215385
1.4376964569091797,419.1079982142393,1.47821882962684,-2.225762600040696,-286.9909752801718
1.4510347843170166,347.95255839834715,1.439634576389186,-2.577949304735397,-352.1867047254684
1.4635570049285889,289.6050977493156,1.4001296626049853,-2.905874930890106,-327.9256261799378
1.4768471717834473,241.7601800171097,1.359659099931627,-3.1988223299570846,-292.9473990876662
1.4903335571289062,198.40534754536543,1.326473238539473,-3.439039197192007,-240.2168672518863
1.504296064376831,162.92638484987054,1.2650218424908724,-3.703240481846372,-264.2012846682753
1.517221212387085,201.56763667552667,1.2146316977310199,-3.9198855352629507,-216.64505342798577
1.5313551425933838,233.2534631725647,1.1645823562794368,-4.083744577331148,-163.8590420775499
1.5441725254058838,200.73583952684487,1.1147894912913074,-4.227648386205731,-143.90380888225303
1.5575807094573975,165.7733884120128,1.0564220906869044,-4.3355508423381135,-107.90245613867211
1.57086181640625,232.43217410331926,0.9912828925483226,-4.399071807141814,-63.52096480885761
1.5835881233215332,287.09237837019054,0.9293953378377953,-4.448234746724451,-49.16293958686676
1.5980682373046875,235.86575026355627,0.8706317831073012,-4.439780561619471,8.454185101513389
1.6112687587738037,214.70391576543255,0.8143733076145727,-4.4455035215265015,-5.722959909874255
1.6235942840576172,253.67321312492032,0.7529018430944693,-4.394126163942625,51.377357581544715
1.6372990608215332,285.6280369597003,0.6950801919517001,-4.337551683345306,56.574480595406705
1.6510796546936035,240.15499030695426,0.6352491260684267,-4.099892498980236,237.65918436350205
1.6640653610229492,196.92709205170252,0.5861876520441425,-3.905011967800879,194.8805311780717
1.6776869297027588,161.48021548239606,0.5348826256934167,-3.4767792819995837,428.2326858002412
1.6906547546386719,132.4137766955648,0.4907536689594599,-3.0315123616882675,445.26692031045195
1.7036783695220947,108.57929689036314,0.4535454845722738,-2.565182733115294,466.3296285722647
1.7171449661254883,89.03502345009778,0.4230347733747812,-2.1827924376854555,382.3902954292571
1.7307746410369873,73.00871922908019,0.39783357038802813,-1.7892097348646314,393.5827028203474
1.7435729503631592,59.86714976784576,0.3812193990193278,-1.2508517811729822,538.3579536912582
1.7573649883270264,49.09106280963353,0.3735097617621739,-0.6839793243237474,566.8724568489142
1.7710957527160645,40.254671503899495,0.3671878592113077,-0.21914390970737474,464.8354146161097
1.7838215827941895,33.00883063319759,0.3620038991195974,0.16202113027805082,381.16503998521
1.7978200912475586,27.067241119222025,0.377302348496399,0.7282265323028552,566.2054020246276
1.8113493919372559,22.195137717762062,0.3962058456796774,1.2450857436709584,516.8592113679583
1.824047565460205,18.20001292856489,0.4186402505341864,1.7241815696521048,479.0958259810276
1.8372113704681396,14.924010601423213,0.4370364625148838,2.117040146956645,392.85857730444263
1.851064682006836,12.237688693167035,0.46745280354715574,2.5400754080685357,423.03526111181094
1.863762378692627,10.03490472839697,0.5096155825117912,2.9713491927094613,431.2737846408598
1.8773033618927002,8.228621877285516,0.5627755353780017,3.3830612467742,411.71205406468476
1.8911983966827393,6.747469939374123,0.6063666967282944,3.7206651311072854,337.60388433304155
1.904285192489624,5.5329253502867815,0.6518555439151669,4.03305353319462,312.3884020872982
1.9172368049621582,4.536998787235161,0.7197317557743679,4.341399227267196,308.34569407254645
1.930603265762329,3.7203390055328325,0.7858359258840251,4.60731350863205,265.9142813648299
1.9439918994903564,3.050677984536923,0.8505427313493944,4.8284632521576265,221.149743525557
1.9572722911834717,2.501555947320277,0.9036023118309973,5.0098060418485995,181.34278969095675
1.9712393283843994,2.0512758768026274,0.9783441172888833,5.140770389282893,130.96434743427986
1.984093427658081,1.6820462189781547,1.0599953313907602,5.220245924381651,79.4755350987462
1.9973433017730713,1.379277899562087,1.1269493269542992,5.285415863162632,65.16993878097189
2.01063871383667,1.1310078776409114,1.1818516033164013,5.338855212963036,53.439349800396954
2.024324417114258,0.9274264596655474,1.2559206874513928,5.318887485414602,-19.967727548440116
2.037297248840332,0.7604896969257489,1.3346233713953144,5.234363695528988,-84.52378988561934
2.0511586666107178,0.6236015514791141,1.4076169393270286,5.129772625017608,-104.59107051138365
2.0640201568603516,0.5113532722128736,1.4755740497469993,5.0039487049497415,-125.82392006786975
2.078282356262207,0.4193096832145564,1.5461541610292966,4.812952589166576,-190.99611578316785
2.0909790992736816,0.3438339402359363,1.6108092864592145,4.61292093829451,-200.03165087206827
2.1041224002838135,0.28194383099346776,1.6701327101775785,4.400510680532785,-212.41025776172685
2.11735463142395,0.23119394141464358,1.7246025727746757,4.177582481028828,-222.9281995039593
2.131258010864258,0.18957903196000775,1.7792798283689235,3.8831682459396104,-294.4142350892183
2.144225835800171,0.15545480620720636,1.8318139128364654,3.5271953743520603,-355.97287158755114
2.157533884048462,0.12747294108990923,1.8779491141492546,3.1858267420028694,-341.36863234919184
2.170903205871582,0.10452781169372558,1.9184250717974638,2.86713950509488,-318.68723690799015
2.184039354324341,0.08571280558885498,1.9516153570689954,2.605815970830329,-261.32353426455194
2.198284387588501,0.07028450058286109,1.9832221953968143,2.201668619339079,-404.1473514912502
2.210822343826294,0.0576332904779461,2.0094116603927192,1.8200459043324158,-381.6227150066635
2.2238047122955322,0.04725929819191581,2.0306826232609776,1.4597056873952285,-360.3402169371875
2.2381625175476074,0.038752624517370965,2.0474991991377878,1.1247426964857428,-334.96299090948605
2.251121759414673,0.03177715210424419,2.0590841113611575,0.7817469879363939,-342.99570854934916
2.263582229614258,0.02605726472548024,2.066820826331471,0.45319275502239376,-328.5542329140003
2.2775626182556152,0.0213669570748938,2.0686698678399766,0.12106085582551623,-332.1318991968777
2.2911264896392822,0.017520904801412916,2.070186081876951,-0.15128730151592337,-272.34815734143973
2.304266929626465,0.014367141937158592,2.068671475894916,-0.4065707315912017,-255.28343007527846
2.3178939819335938,0.011781056388470046,2.0573427317459925,-0.6948232606774905,-288.25252908628886
2.3312525749206543,0.009660466238545438,2.0442215483436597,-0.9611668741400636,-266.34361346257333
2.3441100120544434,0.007921582315607259,2.029355895540961,-1.2014438326826087,-240.276958542545
2.3581888675689697,0.0064956974987979525,2.012908912598984,-1.4163034658481402,-214.85963316553145
2.3708016872406006,0.005326471949014321,1.990267744183567,-1.627594189514396,-211.29072366625581
2.38409686088562,0.0043677069981917435,1.9618578424115758,-1.8332419090163068,-205.64771950191084
2.3975236415863037,0.00358151973851723,1.9334599710852962,-2.019785431624146,-186.54352260783887
2.41091251373291,0.0029368461855841287,1.910173716597747,-2.172751120162574,-152.96568853842788
2.424144983291626,0.002408213872178986,1.8910789879179566,-2.2981829847640847,-125.43186460151088
2.4373793601989746,0.0019747353751867684,1.859424084549857,-2.4296075320951727,-131.42454733108804
2.4510600566864014,0.0016192830076531503,1.8225143456477073,-2.5360174331768675,-106.40990108169484
2.4642534255981445,0.0013278120662755834,1.7867607832784036,-2.6302403861321553,-94.22295295528812
2.4781200885772705,0.0010888058943459785,1.7574428621355744,-2.7075032075554915,-77.26282142333626
2.49066162109375,0.0008928208333637025,1.7171104495776852,-2.7525148576353833,-45.011650079892085
2.5037262439727783,0.0007321130833582361,1.6787824685179655,-2.7820261915923132,-29.511333956929967
2.51725697517395,0.0006003327283537536,1.6421673264482894,-2.7974850031066736,-15.45881151436031
2.5312252044677734,0.000492272837250078,1.6071207763200408,-2.792664213549059,4.820789557614193
2.5440473556518555,0.0004036637265450639,1.5688370603759343,-2.75373327228247,38.93094126658934
2.557692289352417,0.00033100425576695246,1.528704794982055,-2.6800567895582463,73.67648272422338
2.57110333442688,0.00027142348972890106,1.4917956678275655,-2.5882754202820006,91.78136927624598
2.584275484085083,0.00022256726157769889,1.461530183560884,-2.513014697475479,75.26072280652171
2.597537040710449,0.0001825051544937131,1.433040284386692,-2.4218675875896825,91.14710988579606
2.611178398132324,0.00014965422668484476,1.3983156842188862,-2.211721235818901,210.14635177078148
