wall_elapsed,theta,omega,alpha,theta_imu,theta_imu_online,omega_imu,omega_imu_online,alpha_linear,alpha_linear_online,cmd_u_raw,cmd_u,pwm_hw,hw_pwm,ina_current_corr_mA,ina_current_signed_online_mA,tau_cmd,tau_motor,tau_visc,tau_coul,enc_count
0.0,1.5782311964697389,-0.4056713184360424,-15.247463210432283,1.5458576683651784,1.5782311964697389,-1.321321964263916,-0.4056713184360424,-15.247463210432283,-15.247463210432283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-589.0
0.015435194014571607,1.5724433855669229,-0.6410036238558972,-16.316109120440757,1.5299994389462717,1.5724433855669229,-1.7130730152130127,-0.6410036238558972,-16.316109120440757,-16.316109120440757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-589.0
0.0309884830203373,1.564893997053519,-0.9115219955715402,-20.205000554390068,1.5095318146218897,1.564893997053519,-2.143883466720581,-0.9115219955715402,-20.205000554390068,-20.205000554390068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-589.0
0.046511135005857795,1.5519107738476998,-1.2687208959420273,-24.592614090762687,1.4567004703383581,1.5519107738476998,-2.8959603309631348,-1.2687208959420273,-24.592614090762687,-24.592614090762687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-592.0
0.06289133700192906,1.532343600918757,-1.6988833154585952,-26.715019809380273,1.3888509994398432,1.532343600918757,-3.6585121154785156,-1.6988833154585952,-26.715019809380273,-26.715019809380273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-592.0
0.07824352401075885,1.510425596323917,-2.1155483460808333,-28.597429745256676,1.349693562628424,1.510425596323917,-4.013689041137695,-2.1155483460808333,-28.597429745256676,-28.597429745256676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-592.0
0.09368881300906651,1.4804656353121781,-2.5798840927914104,-30.703249304905853,1.2607592545594266,1.4804656353121781,-4.695191383361816,-2.5798840927914104,-30.703249304905853,-30.703249304905853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-598.0
0.10918162201414816,1.4419115772287696,-3.065509400211271,-30.0851986944959,1.1591818179504403,1.4419115772287696,-5.277802467346191,-3.065509400211271,-30.0851986944959,-30.0851986944959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-598.0
0.12592411201330833,1.4012558325881919,-3.5464132400183352,-30.84482134806585,1.1031137052239548,1.4012558325881919,-5.737197399139404,-3.5464132400183352,-30.84482134806585,-30.84482134806585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-598.0
0.14124502599588595,1.3508667171107296,-4.048724330753023,-31.778577261980715,0.9813465369426739,1.3508667171107296,-6.337030410766602,-4.048724330753023,-31.778577261980715,-31.778577261980715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-600.0
0.15666011100984178,1.2986239368993537,-4.5229692405241195,-31.32637275312797,0.9155102153492638,1.2986239368993537,-6.683418273925781,-4.5229692405241195,-31.32637275312797,-31.32637275312797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-608.0
0.17212422902230173,1.2357906451095961,-5.016112895363323,-30.046961215792606,0.7750131719847073,1.2357906451095961,-7.262656211853027,-5.016112895363323,-30.046961215792606,-30.046961215792606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-608.0
0.18743101399741136,1.171655529302472,-5.44811821766106,-28.183602328577848,0.7013313467168952,1.171655529302472,-7.416142463684082,-5.44811821766106,-28.183602328577848,-28.183602328577848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-608.0
