trajectory,t,tau_residual_target,tau_residual_pred,theta_real,theta_sim,omega_real,omega_sim,alpha_real,alpha_sim,motor_input_a,tau_motor_sim,tau_visc_sim,tau_coul_sim,tau_residual_sim,tau_res_sim,tau_net_sim
chrono_run_1.finalized,0.0,0.32810154873931097,0.2933097485682069,1.5711983393605515,1.5711983393605515,-0.001992049627006,-0.001992049627006,0.0006679590506431315,-inf,0.0,0.0,-5.5470180996954386e-05,-0.00044179169191864464,0.2933097485682069,0.2928124866952913,-0.2928124866952913
chrono_run_1.finalized,0.014673948287963902,0.3281008526157135,0.2933097485682069,1.5711983393605515,1.5485451782388795,-0.001992049627006,-1.5437672722516411,0.0005634819650445972,nan,0.0,0.0,-0.04298740796818269,-0.00044179169191864464,0.24544153017754528,0.20201233051744394,-0.20201233051744394
chrono_run_1.finalized,0.2628653049468995,0.3277062086187011,0.29330642991329037,1.5712139950294106,1.9694033395151689,-0.0021039023948833,-23.620190585280152,-0.05819853570883282,-643.5795317815112,0.0,0.0,-0.6577226938453685,-0.00044179169191864464,-0.19875532647667365,-0.8569198120139607,0.8569198120139607
chrono_run_1.finalized,0.2652664184570313,0.32774545521724097,0.29330370858071075,1.571226832677875,1.9514527639171397,-0.0021956216645427,-7.475937943910005,-0.05192466265695661,-9.063603741688553,0.0,0.0,-0.20817334329865966,-0.00044179169191864464,0.07196916924565135,-0.136645965744927,0.136645965744927
chrono_run_1.finalized,0.279015064239502,0.32800587704323186,0.293301477064093,1.571237359549616,1.846846883876505,-0.0022708314656633,-7.608449711753105,-0.012524942809931938,-158.71103914563992,0.0,0.0,-0.21186323718826655,-0.00044179169191864464,0.0755292519140461,-0.13677577696613913,0.13677577696613913
chrono_run_1.finalized,0.2940523624420167,0.32800422504063653,0.29328905044606696,1.5712451677150725,1.729037316903823,-0.0026680618062141,-7.834490304447163,-0.011112602065945804,-598.6530585848113,0.0,0.0,-0.21815751440878106,-0.00044179169191864464,0.07464326968803887,-0.14395603641266086,0.14395603641266086
chrono_run_1.finalized,0.3069541454315186,0.3280274470131381,0.2932864252790083,1.5712518254380377,1.62512787816857,-0.0027541061828716,-8.053882073493485,-0.007267607232294027,339.6900524443772,0.0,0.0,-0.2242666499309378,-0.00044179169191864464,0.07066370646260893,-0.15404473516024753,0.15404473516024753
chrono_run_1.finalized,0.3193130493164063,0.3280500511388735,0.29328378186716897,1.5712582777296296,1.5229074536966183,-0.0028406415385704,-8.270994371672833,-0.003513291967245147,1672.6118770383946,0.0,0.0,-0.2303123118027125,-0.00044179169191864464,0.06420755995963522,-0.16654654353499593,0.16654654353499593
chrono_run_1.finalized,0.33250188827514654,0.32805711297384704,0.2932816142672496,1.5712635686087348,1.410834146566146,-0.0029116005302434,-8.497587049252862,-0.002156749095314478,-697.0736906365964,0.0,0.0,-0.23662196225898144,-0.00044179169191864464,0.054535519129908214,-0.1825282348209919,0.1825282348209919
chrono_run_1.finalized,0.3459615707397462,0.32805587087317334,0.2932853713209348,1.5712671346862277,1.2934136839146075,-0.0027940182681795,-8.723865734601564,-0.002834487058799337,-4885.620704278539,0.0,0.0,-0.24292286935581428,-0.00044179169191864464,0.041483001592589094,-0.20188165945514386,0.20188165945514386
chrono_run_1.finalized,0.3590557575225831,0.3280402325287231,0.2932884521125143,1.571270058869772,1.176406152594157,-0.0026976008132871,-8.93583796084361,-0.005584434574184671,1059.1908745212222,0.0,0.0,-0.24882540190147473,-0.00044179169191864464,0.025632672267295525,-0.22363452132609787,0.22363452132609787
chrono_run_1.finalized,0.3731188774108887,0.328022206525599,0.293287427864718,1.571270818225107,1.0478617135994794,-0.0027303912681526,-9.140534960636339,-0.008152795151684544,-2149.397353438486,0.0,0.0,-0.2545253500724959,-0.00044179169191864464,0.005380475337493262,-0.2495866664269213,0.2495866664269213
chrono_run_1.finalized,0.3860340118408204,0.32801100002989675,0.2932764910185063,1.5712702869084494,0.927632560053603,-0.0030768586941155,-9.309167798303177,-0.008386764538645716,-650.7230296163107,0.0,0.0,-0.2592210634225034,-0.00044179169191864464,-0.016156800655028825,-0.2758196557694509,0.2758196557694509
chrono_run_1.finalized,0.39931321144104015,0.3280117862662005,0.2932690371245874,1.571270002675394,0.8020912392637664,-0.0033130251247958,-9.45398251169893,-0.0072817806639919325,5286.718500275776,0.0,0.0,-0.263253542460266,-0.00044179169191864464,-0.04090193620785208,-0.30459727036003675,0.30459727036003675
chrono_run_1.finalized,0.4122755527496339,0.3280246507339522,0.2932629249713567,1.5712697696042883,0.6781518532684017,-0.0035066815979536,-9.561496881215099,-0.004541703070300218,439.5317648348164,0.0,0.0,-0.26624736422855133,-0.00044179169191864464,-0.0672104196395097,-0.3338995755599797,0.3338995755599797
chrono_run_1.finalized,0.42676925659179693,0.3280703932187487,0.29326804525158023,1.571273377683035,0.5385756154322267,-0.0033459006110603,-9.630129010235459,0.0016516638897423053,-384.4775603479866,0.0,0.0,-0.2681584795779654,-0.00044179169191864464,-0.09842547126332392,-0.36702574253320797,0.36702574253320797
chrono_run_1.finalized,0.43948960304260265,0.32810795287942157,0.2932727594910781,1.5712771965722967,0.41587723643976277,-0.0031980812349682,-9.645836256660465,0.006671093957290888,-312.0845558823785,0.0,0.0,-0.2685958601483824,-0.00044179169191864464,-0.1268758745380028,-0.39591352637830385,0.39591352637830385
chrono_run_1.finalized,0.4521398544311524,0.32811511745325106,0.2932766251804112,1.571280328061491,0.2941429633545336,-0.0030768693465727,-9.623071458913135,0.0072398872450718105,-363.75583529837377,0.0,0.0,-0.2679619565376067,-0.00044179169191864464,-0.15569124901698358,-0.4240949972465089,0.4240949972465089
chrono_run_1.finalized,0.4656174182891846,0.3281016477365519,0.2932797950543685,1.5712828958826308,0.16552204420594233,-0.0029774755980884,-9.543335910216248,0.004802971074451559,2192.3836604976987,0.0,0.0,-0.26574165777689995,-0.00044179169191864464,-0.1859936401171287,-0.4521770895859473,0.4521770895859473
chrono_run_1.finalized,0.479456901550293,0.32808088351056264,0.2932803732452221,1.571284642279887,0.04902104963044527,-0.0029598885916897,-8.418016220510735,0.0016131330464404653,6793.640979510868,0.0,0.0,-0.2344062502543376,-0.00044179169191864464,-0.18978247100818546,-0.4246305129544417,0.4246305129544417
chrono_run_1.finalized,0.49257779121398937,0.3280746778271443,0.2932823344503142,1.571284197345974,-0.056512630328233386,-0.0028975303459239,-8.04318020070512,0.0004211397466253458,-7505.387014717286,0.0,0.0,-0.22396864790702778,-0.00044179169191864464,-0.20787550021544218,-0.4322859398143886,0.4322859398143886
chrono_run_1.finalized,0.5064921379089357,0.3280735352614144,0.29327483394625864,1.5712811923440722,-0.1661544799466186,-0.0031340179455994,-7.879769853528767,0.0012379178943665858,1604.2302802528648,0.0,0.0,-0.2194183588922551,-0.00044179169191864464,-0.23179451718796867,-0.45165466777214247,0.45165466777214247
chrono_run_1.finalized,0.5193879604339601,0.328075509449565,0.29327628104254455,1.571281446613495,-0.26526605416320714,-0.0030882533166487,-7.685556623027507,0.0013429582700507092,1186.7574643917978,0.0,0.0,-0.21401033948256815,-0.00044179169191864464,-0.25184169709653426,-0.46629382827102106,0.46629382827102106
chrono_run_1.finalized,0.5326862335205079,0.32807807005400824,0.2932789702436936,1.5712809353150323,-0.36403215131590116,-0.0030027894203903,-7.4269866854067805,0.0013700805534936356,14151.108987837913,0.0,0.0,-0.20681025719257523,-0.00044179169191864464,-0.2695510507572047,-0.4768030996416986,0.4768030996416986
