feature,coeff,active
motor_input,-0.6630732280144563,1
theta,0.01070782316050836,1
omega,0.031548970971800525,1
theta2,0.0008923259002158205,1
omega2,0.000478115378306101,1
sin_theta,0.24495947151313627,1
tanh_omega_eps,-0.029386175076257525,1
motor_input_omega,-0.033139272660682347,1
