#{"t_start": 1774898727.6051185, "env_id": "None"}
r,l,t
-183.365836,12,72.189846
-184.038093,12,72.668998
-183.499179,12,73.150032
-184.024688,12,73.783817
-185.227119,12,74.262136
-184.463213,12,74.742063
-185.275784,12,75.225108
-185.868581,12,75.810789
-187.43059,12,76.289316
-184.135624,12,76.768611
-184.838766,12,77.244536
-185.417443,12,77.823072
-186.631257,12,78.300124
-184.482895,12,78.776531
-186.589136,12,79.253428
-184.915321,12,79.837157
-184.493544,12,80.316138
-184.157743,12,80.791146
-183.190037,12,81.268714
-185.47546,12,81.851658
-184.624646,12,82.328988
-184.792786,12,82.804063
-184.717576,12,83.281221
-183.929729,12,83.924517
-184.822465,12,84.400752
-184.890503,12,84.878372
-184.638126,12,85.356187
-184.884352,12,86.023252
-185.587745,12,86.500294
-185.253345,12,86.976697
-185.875236,12,87.451253
-184.222307,12,88.085432
-183.740911,12,88.566857
-185.255488,12,89.046331
-183.768063,12,89.539218
-184.183397,12,90.181743
-185.142818,12,90.662307
-185.291543,12,91.143362
-185.653038,12,91.621341
-184.580588,12,92.264098
-184.008779,12,92.745929
-184.24144,12,93.225856
-184.342375,12,93.706442
-183.556401,12,94.326819
-183.469548,12,94.808119
-183.519477,12,95.289256
-185.322377,12,95.768284
-194.959412,12,96.381176
-183.236612,12,96.863695
-184.463298,12,97.351981
-184.631695,12,97.847334
-184.254341,12,98.502412
-184.345577,12,98.981278
-183.305979,12,99.459837
-185.783195,12,99.939608
-184.693759,12,100.54917
-183.975795,12,101.028448
-183.791586,12,101.507044
-184.90297,12,101.985851
-184.280224,12,102.591778
-183.470649,12,103.076312
-185.042379,12,103.562444
-184.250762,12,104.048323
-185.032726,12,104.694447
-185.735878,12,105.173023
-184.1554,12,105.664425
-184.383762,12,106.1447
-184.88417,12,106.763757
-184.658434,12,107.240598
-184.980476,12,107.718485
-183.847519,12,108.199308
-184.736929,12,108.835126
-188.382087,12,109.315788
-183.473364,12,109.795195
-185.52857,12,110.277316
-184.966782,12,110.859995
-186.501096,12,111.339933
-184.224087,12,111.820706
-184.928633,12,112.302058
-185.346841,12,112.923415
-185.381195,12,113.402279
-184.634575,12,113.880868
-185.084428,12,114.361203
-185.645281,12,114.9717
-183.585557,12,115.450905
-185.320844,12,115.944435
-185.204997,12,116.444861
-183.601975,12,117.066665
-184.913739,12,117.559418
-184.586263,12,118.045009
-184.707761,12,118.525729
-194.791796,12,119.176253
-185.821998,12,119.655449
-185.37571,12,120.148634
-184.867389,12,120.629646
-185.894442,12,121.276384
-184.515212,12,121.758704
-184.371094,12,122.239906
-184.424202,12,122.721473
-184.308977,12,123.319615
-185.10633,12,123.79834
-185.422352,12,124.27622
-185.117469,12,124.756598
-188.473852,12,125.424728
-185.508649,12,125.902595
-188.491255,12,126.380243
-184.598152,12,126.870864
-185.070141,12,127.527375
-185.577349,12,128.007358
-193.349236,12,128.486261
-185.600551,12,128.967326
-183.986321,12,129.635876
-183.596474,12,130.116843
-185.745938,12,130.594657
-185.276458,12,131.072625
-185.136494,12,131.662681
-185.261778,12,132.139453
-185.889336,12,132.617112
-188.758542,12,133.095789
-186.538119,12,133.753131
-185.929537,12,134.235294
-184.061996,12,134.716224
-187.107766,12,135.197539
-187.503723,12,135.776179
-185.432581,12,136.258863
-185.874909,12,136.737296
-184.942998,12,137.218382
-184.095829,12,137.827325
-185.857291,12,138.306727
-185.383076,12,138.786275
-184.704999,12,139.26801
-186.113462,12,139.844649
-185.212122,12,140.322958
-185.598495,12,140.800719
-184.981805,12,141.279527
-185.52334,12,141.881167
-190.886219,12,142.367377
-189.061844,12,142.851723
-185.153063,12,143.336684
-184.917346,12,143.917851
-191.432543,12,144.39595
-185.57443,12,144.874644
-184.855721,12,145.353465
-187.017513,12,145.999125
-186.364982,12,146.476531
-185.849964,12,146.955994
-186.578314,12,147.4346
-184.66921,12,148.089925
-185.323791,12,148.567479
-186.167823,12,149.043572
-186.409437,12,149.519295
-185.016297,12,150.100275
-185.249479,12,150.588248
-185.995259,12,151.067408
-185.038621,12,151.545974
-186.656933,12,152.152754
-185.645056,12,152.633073
-186.119782,12,153.112945
-189.060633,12,153.593019
-183.876903,12,154.178299
-185.122657,12,154.65742
-186.420766,12,155.140474
-184.96479,12,155.622825
-185.193801,12,156.209374
-185.154848,12,156.691635
-186.174096,12,157.173286
-186.337414,12,157.651759
-190.488563,12,158.302412
-188.736352,12,158.789374
-186.402173,12,159.267498
-196.451016,12,159.755029
-184.944868,12,160.425453
-185.553228,12,160.912796
-185.813473,12,161.397444
-209.656781,12,161.875394
-213.843883,12,162.519955
-186.154979,12,163.004026
-184.512071,12,163.487301
-185.811238,12,163.973267
-185.389667,12,164.644211
-184.982235,12,165.1309
-185.940939,12,165.616632
-184.992186,12,166.101925
-186.082164,12,166.760223
-184.875036,12,167.249637
-184.845871,12,167.729753
-185.399992,12,168.211553
-185.119808,12,168.876297
-192.678387,12,169.361654
-186.761985,12,169.845551
-185.721167,12,170.330749
-188.405152,12,170.912438
-187.739988,12,171.39345
-184.711764,12,171.874331
-184.846174,12,172.354444
-188.723045,12,172.978923
-184.596162,12,173.457952
-184.832744,12,173.936968
-185.21319,12,174.414839
-185.073947,12,174.996222
-188.756395,12,175.476027
-185.426077,12,175.953501
-185.391411,12,176.432038
-184.545341,12,177.011785
-186.019283,12,177.492005
-185.024793,12,177.971888
-183.666049,12,178.451228
-186.604604,12,179.105618
-185.497362,12,179.587486
-184.238669,12,180.070302
-185.715962,12,180.552039
-184.02072,12,181.131804
-189.702064,12,181.609394
-184.473348,12,182.088357
-185.240499,12,182.567889
-183.903519,12,183.1937
-184.056436,12,183.673764
-184.210595,12,184.1537
-184.21257,12,184.637082
-186.441406,12,185.245516
-185.170975,12,185.728145
-185.115097,12,186.210629
-184.027655,12,186.694867
-186.886919,12,187.277983
-184.120147,12,187.761611
-185.204304,12,188.249416
-185.494487,12,188.733037
-192.819907,12,189.321018
-186.756035,12,189.806287
-184.458877,12,190.298381
-186.111005,12,190.79472
-192.766863,12,191.509458
-185.611376,12,192.020213
-185.876256,12,192.510156
-207.32504,12,192.996403
-192.213131,12,193.598956
-188.089729,12,194.087291
-184.971345,12,194.573555
-185.734353,12,195.057773
-184.928998,12,195.655123
-185.827244,12,196.134516
-188.73894,12,196.615707
-190.503529,12,197.09625
-182.542948,12,197.69746
-185.005256,12,198.180763
-184.455033,12,198.663013
-184.355752,12,199.145264
-184.757391,12,199.780853
-185.655622,12,200.263274
-183.959197,12,200.741678
-184.418821,12,201.231621
-185.880107,12,201.846081
-185.744915,12,202.32861
-185.176289,12,202.811233
-186.859721,12,203.289734
-186.008507,12,203.922451
-188.968407,12,204.406622
-186.348181,12,204.891286
-184.982853,12,205.372307
-184.947972,12,206.031224
-186.610372,12,206.513574
-187.082604,12,206.997457
-186.28385,12,207.481868
