#{"t_start": 1774898727.6051185, "env_id": "None"}
r,l,t
-189.054567,12,0.8988
-184.191514,12,1.382764
-198.237631,12,1.861294
-186.068156,12,2.333252
-184.71159,12,3.063888
-186.558288,12,3.543003
-185.171952,12,4.024454
-185.217753,12,4.505848
-184.743371,12,5.178505
-187.816236,12,5.667741
-185.612225,12,6.148415
-186.394149,12,6.629698
-185.749223,12,7.211015
-185.648139,12,7.691202
-186.22666,12,8.171405
-209.520423,12,8.648359
-192.618609,12,9.239685
-186.330315,12,9.718807
-185.875371,12,10.198931
-187.990075,12,10.678238
-185.332365,12,11.321455
-183.257131,12,11.803014
-184.932516,12,12.282933
-184.879163,12,12.765301
-184.443711,12,13.440901
-184.609514,12,13.920861
-185.273973,12,14.427041
-183.105285,12,14.919082
-189.434836,12,15.502296
-185.233953,12,15.991296
-185.872659,12,16.479321
-186.144738,12,16.972349
-183.451077,12,17.611993
-186.32059,12,18.096601
-185.532134,12,18.580367
-185.098184,12,19.06494
-187.766101,12,19.707874
-184.414675,12,20.187044
-185.143771,12,20.666108
-184.188617,12,21.144849
-184.673156,12,21.745615
-186.601344,12,22.221519
-185.917457,12,22.704728
-191.951728,12,23.184157
-184.614917,12,23.772232
-186.167416,12,24.251788
-184.704135,12,24.730782
-184.835807,12,25.207605
-185.866077,12,25.788356
-183.802994,12,26.26597
-186.915777,12,26.748363
-183.81403,12,27.229179
-185.372025,12,27.828165
-186.233263,12,28.3413
-186.697305,12,28.823894
-186.234317,12,29.308843
-186.091838,12,30.040004
-185.512661,12,30.519279
-185.134562,12,31.021175
-184.431422,12,31.521299
-185.861643,12,32.203637
-184.177459,12,32.694538
-184.986455,12,33.199638
-185.090566,12,33.685166
-181.875058,12,34.336883
-185.452716,12,34.82233
-184.408305,12,35.317351
-184.676094,12,35.801157
-184.775162,12,36.455015
-185.925356,12,36.936715
-183.884169,12,37.420277
-186.446988,12,37.901551
-211.357829,12,38.482513
-184.168246,12,38.959876
-185.357099,12,39.440953
-185.322425,12,39.919083
-185.595798,12,40.545462
-184.475983,12,41.022203
-186.275252,12,41.498656
-185.340257,12,41.973539
-184.996937,12,42.596726
-185.145505,12,43.07546
-185.101317,12,43.553154
-185.683118,12,44.030997
-185.322197,12,44.607579
-184.717469,12,45.084145
-185.309563,12,45.562076
-185.180164,12,46.042793
-187.453754,12,46.62365
-185.012653,12,47.109665
-184.876032,12,47.588148
-184.135539,12,48.065807
-187.054997,12,48.675437
-186.686694,12,49.156125
-185.359984,12,49.636983
-185.606237,12,50.11751
-187.207469,12,50.698272
-184.575468,12,51.175075
-184.783731,12,51.651479
-185.934247,12,52.127709
-184.865833,12,52.769435
-184.173148,12,53.247948
-184.263056,12,53.724864
-184.792568,12,54.201577
-184.509235,12,54.778733
-185.522592,12,55.254869
-184.983816,12,55.740592
-185.002939,12,56.219246
-186.355086,12,56.800531
-184.037369,12,57.27972
-184.920927,12,57.755028
-183.500802,12,58.270405
-183.962987,12,58.912212
-183.999525,12,59.395451
-184.514875,12,59.877724
-184.039719,12,60.358418
-185.004975,12,60.939548
-183.936941,12,61.432046
-184.119357,12,61.947067
-184.242509,12,62.438176
-184.055701,12,63.114051
-183.688882,12,63.622272
-184.822598,12,64.109777
-183.930716,12,64.595345
-184.291615,12,65.299527
-183.609372,12,65.794614
-184.483407,12,66.284984
-184.187466,12,66.785551
-185.240718,12,67.517896
-184.536289,12,68.027355
-184.379628,12,68.520065
-183.654902,12,69.00686
-183.814659,12,69.664301
-183.24261,12,70.144387
-186.398022,12,70.62298
-184.952073,12,71.101051
-183.590624,12,71.708746
