wall_time,wall_elapsed,mode,cmd_u_raw,cmd_u_delayed,hw_pwm,delay_sec_est,tau_cmd,theta,omega,alpha,hw_enc,hw_arduino_ms,theta_real,omega_real,alpha_real,delay_ms,l_com_est,b_eq_est,tau_eq_est,K_u_est,J_rod,J_imu,J_total,tau_motor,tau_res,tau_visc,tau_coul,inst_cost,best_cost_so_far,imu_qw,imu_qx,imu_qy,imu_qz,imu_wx,imu_wy,imu_wz,imu_ax,imu_ay,imu_az,ls_cost,fit_done,fit_complete,fit_final_params
0.0,1.002051591873169,replay,0.0,0.0,0.0,0.0,0.0038632183607563582,-1.5707963267948968,-0.0029099471867084,43.63740902916782,,,-1.5707963267948968,-0.0029099471867084,0.0,0.0,0.13293092054716407,0.04095727031745909,0.06440428011151482,0.0015134265022156113,0.005415,0.0012479696298261344,0.006662969629826134,0.0,-0.0038632183607563582,-0.00011918349353554553,-0.0037440348672208128,77.07024376854356,77.07024376854356,1.0,0.0,0.0,0.0,0.0,0.0,-0.0029099471867084,0.0,0.0,0.0,77.07024376854356,1,1,"{""K_u"": 0.0015134265022156113, ""b_eq"": 0.04095727031745909, ""tau_eq"": 0.06440428011151482, ""l_com"": 0.13293092054716407}"
0.0,1.0115540027618408,replay,0.0,0.0,0.0,0.0,-0.08126845346229314,-1.5708239783087292,0.4117506435254843,36.28129045933521,,,-1.5708037878222738,-0.0021109990775585,0.0574383685381722,0.0,0.13293092054716407,0.04095727031745909,0.06440428011151482,0.0015134265022156113,0.005415,0.0012479696298261344,0.006662969629826134,0.0,0.08126845346229314,0.016864182410260997,0.06440427105203214,77.07024376854356,77.07024376854356,1.0,0.0,0.0,0.0,0.0,0.0,0.4117506435254843,0.0,0.0,0.0,77.07024376854356,1,1,"{""K_u"": 0.0015134265022156113, ""b_eq"": 0.04095727031745909, ""tau_eq"": 0.06440428011151482, ""l_com"": 0.13293092054716407}"
0.0,1.0219368934631348,replay,0.0,0.0,0.0,0.0,-0.09327917560214911,-1.566911354510275,0.7050004862848134,28.32798006378139,,,-1.5707908815373066,-0.0026436310727149,-0.1116835615308296,0.0,0.13293092054716407,0.04095727031745909,0.06440428011151482,0.0015134265022156113,0.005415,0.0012479696298261344,0.006662969629826134,0.0,0.09327917560214911,0.028874895490707212,0.0644042801114419,77.07024376854356,77.07024376854356,1.0,0.0,0.0,0.0,0.0,0.0,0.7050004862848134,0.0,0.0,0.0,77.07024376854356,1,1,"{""K_u"": 0.0015134265022156113, ""b_eq"": 0.04095727031745909, ""tau_eq"": 0.06440428011151482, ""l_com"": 0.13293092054716407}"
0.0,1.0325548648834229,replay,0.0,0.0,0.0,0.0,-0.10563607821812673,-1.5595914115168208,1.006702785293672,28.94649262723439,,,-1.5707649603369356,-0.0026436310727149,0.0813644216060408,0.0,0.13293092054716407,0.04095727031745909,0.06440428011151482,0.0015134265022156113,0.005415,0.0012479696298261344,0.006662969629826134,0.0,0.10563607821812673,0.04123179810661191,0.06440428011151482,77.07024376854356,77.07024376854356,1.0,0.0,0.0,0.0,0.0,0.0,1.006702785293672,0.0,0.0,0.0,77.07024376854356,1,1,"{""K_u"": 0.0015134265022156113, ""b_eq"": 0.04095727031745909, ""tau_eq"": 0.06440428011151482, ""l_com"": 0.13293092054716407}"
0.0,1.042365789413452,replay,0.0,0.0,0.0,0.0,-0.1174652028098371,-1.5489022701138482,1.2955190198723694,27.89670356712761,,,-1.570768236530709,-0.0036201234906911,0.0239331577348425,0.0,0.13293092054716407,0.04095727031745909,0.06440428011151482,0.0015134265022156113,0.005415,0.0012479696298261344,0.006662969629826134,0.0,0.1174652028098371,0.05306092269832229,0.06440428011151482,77.07024376854356,77.07024376854356,1.0,0.0,0.0,0.0,0.0,0.0,1.2955190198723694,0.0,0.0,0.0,77.07024376854356,1,1,"{""K_u"": 0.0015134265022156113, ""b_eq"": 0.04095727031745909, ""tau_eq"": 0.06440428011151482, ""l_com"": 0.13293092054716407}"
0.0,1.051806926727295,replay,0.0,0.0,0.0,0.0,-0.12767877524108434,-1.536192030782663,1.544890434326556,24.482892455126276,,,-1.570764049669673,-0.0034425794146955,0.1340171182083389,0.0,0.13293092054716407,0.04095727031745909,0.06440428011151482,0.0015134265022156113,0.005415,0.0012479696298261344,0.006662969629826134,0.0,0.12767877524108434,0.06327449512956954,0.06440428011151482,77.07024376854356,77.07024376854356,1.0,0.0,0.0,0.0,0.0,0.0,1.544890434326556,0.0,0.0,0.0,77.07024376854356,1,1,"{""K_u"": 0.0015134265022156113, ""b_eq"": 0.04095727031745909, ""tau_eq"": 0.06440428011151482, ""l_com"": 0.13293092054716407}"
0.0,1.061854600906372,replay,0.0,0.0,0.0,0.0,-0.13690866555954864,-1.5216065080573435,1.7702445716243684,22.476365686414397,,,-1.5707599061736628,-0.0036201234906911,0.1053036274629653,0.0,0.13293092054716407,0.04095727031745909,0.06440428011151482,0.0015134265022156113,0.005415,0.0012479696298261344,0.006662969629826134,0.0,0.13690866555954864,0.07250438544803382,0.06440428011151482,77.07024376854356,77.07024376854356,1.0,0.0,0.0,0.0,0.0,0.0,1.7702445716243684,0.0,0.0,0.0,77.07024376854356,1,1,"{""K_u"": 0.0015134265022156113, ""b_eq"": 0.04095727031745909, ""tau_eq"": 0.06440428011151482, ""l_com"": 0.13293092054716407}"
0.0,1.0718727111816406,replay,0.0,0.0,0.0,0.0,-0.14615063040210974,-1.503819667384382,1.9958935167549101,21.67516831602896,,,-1.5707591985350535,-0.0017559108091518,0.2106028728050052,0.0,0.13293092054716407,0.04095727031745909,0.06440428011151482,0.0015134265022156113,0.005415,0.0012479696298261344,0.006662969629826134,0.0,0.14615063040210974,0.08174635029059492,0.06440428011151482,77.07024376854356,77.07024376854356,1.0,0.0,0.0,0.0,0.0,0.0,1.9958935167549101,0.0,0.0,0.0,77.07024376854356,1,1,"{""K_u"": 0.0015134265022156113, ""b_eq"": 0.04095727031745909, ""tau_eq"": 0.06440428011151482, ""l_com"": 0.13293092054716407}"
0.0,1.081991195678711,replay,0.0,0.0,0.0,0.0,-0.15477802791080986,-1.4838245860358377,2.206537376607613,20.610438114432554,,,-1.57075904801597,-0.0023773149587213,0.0526553114985951,0.0,0.13293092054716407,0.04095727031745909,0.06440428011151482,0.0015134265022156113,0.005415,0.0012479696298261344,0.006662969629826134,0.0,0.15477802791080986,0.09037374779929504,0.06440428011151482,77.07024376854356,77.07024376854356,1.0,0.0,0.0,0.0,0.0,0.0,2.206537376607613,0.0,0.0,0.0,77.07024376854356,1,1,"{""K_u"": 0.0015134265022156113, ""b_eq"": 0.04095727031745909, ""tau_eq"": 0.06440428011151482, ""l_com"": 0.13293092054716407}"
0.0,1.0917401313781738,replay,0.0,0.0,0.0,0.0,-0.16292781960225783,-1.4614977717984274,2.405520161062707,19.142086958814247,,,-1.570770316228744,-0.0011345066595822,0.0191411138171088,0.0,0.13293092054716407,0.04095727031745909,0.06440428011151482,0.0015134265022156113,0.005415,0.0012479696298261344,0.006662969629826134,0.0,0.16292781960225783,0.09852353949074301,0.06440428011151482,77.07024376854356,77.07024376854356,1.0,0.0,0.0,0.0,0.0,0.0,2.405520161062707,0.0,0.0,0.0,77.07024376854356,1,1,"{""K_u"": 0.0015134265022156113, ""b_eq"": 0.04095727031745909, ""tau_eq"": 0.06440428011151482, ""l_com"": 0.13293092054716407}"
