#{"t_start": 1774919389.2693346, "env_id": "None"}
r,l,t
-184.598152,12,126.015186
-185.070141,12,126.635539
-185.577349,12,127.113006
-193.349236,12,127.587544
-185.600551,12,128.06243
-183.986321,12,128.641783
-183.596474,12,129.116396
-185.745938,12,129.589945
-185.276458,12,130.064665
-185.136494,12,130.639261
-185.261778,12,131.1142
-185.889336,12,131.58985
-188.758542,12,132.064739
-186.538119,12,132.640261
-185.929537,12,133.115785
-184.061996,12,133.591265
-187.107766,12,134.066217
-187.503723,12,134.750179
-185.432581,12,135.224698
-185.874909,12,135.698267
-184.942998,12,136.171737
-184.095829,12,136.747241
-185.857291,12,137.223894
-185.383076,12,137.698961
-184.704999,12,138.174719
-186.113462,12,138.772633
-185.212122,12,139.247202
-185.598495,12,139.722686
-184.981805,12,140.197065
-185.52334,12,140.774716
-190.886219,12,141.253535
-189.061844,12,141.732445
-185.153063,12,142.210088
-184.917346,12,142.78363
-191.432543,12,143.257965
-185.57443,12,143.733954
-184.855721,12,144.207292
-187.017513,12,144.869101
-186.364982,12,145.34389
-185.849964,12,145.818706
-186.578314,12,146.294374
-184.66921,12,146.894682
-185.323791,12,147.370164
-186.167823,12,147.845238
-186.409437,12,148.320626
-185.016297,12,148.896384
-185.249479,12,149.371576
-185.995259,12,149.846826
-185.038621,12,150.322618
-186.656933,12,150.964318
-185.645056,12,151.440356
-186.119782,12,151.916132
-189.060633,12,152.390836
-183.876903,12,153.053761
-185.122657,12,153.53447
-186.420766,12,154.008749
-184.96479,12,154.48327
-185.193801,12,155.119376
-185.154848,12,155.60397
-186.174096,12,156.088097
-186.337414,12,156.574703
-190.488563,12,157.162133
-188.736352,12,157.646799
-186.402173,12,158.130569
-196.451016,12,158.615015
-184.944868,12,159.200689
-185.553228,12,159.684298
-185.813473,12,160.168063
-209.656781,12,160.653337
-213.843883,12,161.240482
-186.154979,12,161.72663
-184.512071,12,162.21108
-185.811238,12,162.695863
-185.389667,12,163.283466
-184.982235,12,163.769761
-185.940939,12,164.255701
-184.992186,12,164.744079
-186.082164,12,165.407876
-184.875036,12,165.893996
-184.845871,12,166.379052
-185.399992,12,166.863195
-185.119808,12,167.497393
-192.678387,12,167.987591
-186.761985,12,168.477887
-185.721167,12,168.969659
-188.405152,12,169.558748
-187.739988,12,170.04545
-184.711764,12,170.531867
-184.846174,12,171.017982
-188.723045,12,171.648551
-184.596162,12,172.138246
-184.832744,12,172.639738
-185.21319,12,173.125582
-185.073947,12,173.720742
-188.756395,12,174.203644
-185.426077,12,174.686297
-185.391411,12,175.169984
-184.545341,12,175.790489
-186.019283,12,176.274509
-185.024793,12,176.759914
-183.666049,12,177.245282
-186.604604,12,177.835694
-185.497362,12,178.323956
-184.238669,12,178.812718
-185.715962,12,179.302162
-184.02072,12,179.931857
-189.702064,12,180.414848
-184.473348,12,180.911362
-185.240499,12,181.394526
-183.903519,12,182.036626
-184.056436,12,182.54262
-184.210595,12,183.08305
-184.21257,12,183.579725
-186.441406,12,184.204736
-185.170975,12,184.690186
-185.115097,12,185.175338
-184.027655,12,185.660386
-186.886919,12,186.315723
-184.120147,12,186.801497
-185.204304,12,187.285921
-185.494487,12,187.769566
-192.819907,12,188.356399
-186.756035,12,188.841529
-184.458877,12,189.327736
-186.111005,12,189.815451
-192.766863,12,190.506903
-185.611376,12,190.985444
-185.876256,12,191.467083
-207.32504,12,191.947355
-192.213131,12,192.526045
-188.089729,12,193.002118
-184.971345,12,193.47895
-185.734353,12,193.956549
-184.928998,12,194.6387
-185.827244,12,195.13031
-188.73894,12,195.617805
-190.503529,12,196.106421
-182.542948,12,196.737629
-185.005256,12,197.224991
-184.455033,12,197.714107
-184.355752,12,198.201275
-184.757391,12,198.837895
-185.655622,12,199.321261
-183.959197,12,199.805723
-184.418821,12,200.288189
-185.880107,12,200.918206
-185.744915,12,201.399663
-185.176289,12,201.881547
-186.859721,12,202.362706
-186.008507,12,202.949889
-188.968407,12,203.436829
-186.348181,12,203.9214
-184.982853,12,204.407557
-184.947972,12,205.062611
-186.610372,12,205.555278
-187.082604,12,206.041317
-186.28385,12,206.525351
