episode,reward,train_loss,val_loss,rmse_theta,rmse_omega,rmse_alpha,val_rmse_theta,val_rmse_omega,val_rmse_alpha
1,-77.47326422079917,77.47326422079917,77.47326422079917,7.382175030374794,6.493404959382716,26.971392948774703,7.382175030374794,6.493404959382716,26.971392948774703
2,-77.93759280899005,77.93759280899005,77.93759280899005,7.370190640036542,6.598483324007111,27.310097643851122,7.370190640036542,6.598483324007111,27.310097643851122
3,-77.36841714123949,77.36841714123949,77.36841714123949,7.385967171280118,6.544396295394492,26.668692997958214,7.385967171280118,6.544396295394492,26.668692997958214
4,-77.91705738173779,77.91705738173779,77.91705738173779,7.372220685683908,6.591268972973516,27.294881724879136,7.372220685683908,6.591268972973516,27.294881724879136
5,-77.43060039282894,77.43060039282894,77.43060039282894,7.392243668190661,6.451739679083292,26.97603303613264,7.392243668190661,6.451739679083292,26.97603303613264
6,-77.7341242729675,77.7341242729675,77.7341242729675,7.34389683625087,6.642852723341164,27.074646824100014,7.34389683625087,6.642852723341164,27.074646824100014
7,-77.99562960569797,77.99562960569797,77.99562960569797,7.356599448195593,6.658443871596018,27.277627775881893,7.356599448195593,6.658443871596018,27.277627775881893
8,-77.62079729172508,77.62079729172508,77.62079729172508,7.382345164501933,6.486070062072822,27.179972190469986,7.382345164501933,6.486070062072822,27.179972190469986
9,-78.2681685056211,78.2681685056211,78.2681685056211,7.376920292428124,6.628743856356165,27.583567934590935,7.376920292428124,6.628743856356165,27.583567934590935
10,-77.20489046146243,77.20489046146243,77.20489046146243,7.367339800886083,6.534417133780343,26.589950763574027,7.367339800886083,6.534417133780343,26.589950763574027
11,-77.34499058501274,77.34499058501274,77.34499058501274,7.373115997326441,6.500605141667473,26.82181496832749,7.373115997326441,6.500605141667473,26.82181496832749
12,-78.28380355707836,78.28380355707836,78.28380355707836,7.357899567377107,6.657925624224899,27.620970343095802,7.357899567377107,6.657925624224899,27.620970343095802
13,-78.10953106433978,78.10953106433978,78.10953106433978,7.369958186591274,6.565082538993168,27.621759474577754,7.369958186591274,6.565082538993168,27.621759474577754
14,-77.53071499871025,77.53071499871025,77.53071499871025,7.374225321834041,6.527972364441673,26.991276262336832,7.374225321834041,6.527972364441673,26.991276262336832
15,-77.66311400921269,77.66311400921269,77.66311400921269,7.389647965820338,6.45772269072926,27.273208160529048,7.389647965820338,6.45772269072926,27.273208160529048
16,-80.75059930690593,80.75059930690593,80.75059930690593,7.309885655632946,7.224292969100146,29.255540682394237,7.309885655632946,7.224292969100146,29.255540682394237
17,-77.12337984790076,77.12337984790076,77.12337984790076,7.388166462787349,6.448571466636817,26.617515907737502,7.388166462787349,6.448571466636817,26.617515907737502
18,-77.99629468522804,77.99629468522804,77.99629468522804,7.373382312059728,6.549770792317739,27.510080871509476,7.373382312059728,6.549770792317739,27.510080871509476
19,-77.55234398455406,77.55234398455406,77.55234398455406,7.388233353888264,6.4810462331282475,27.080304348838432,7.388233353888264,6.4810462331282475,27.080304348838432
20,-77.37050064300934,77.37050064300934,77.37050064300934,7.393506802890295,6.478919846013686,26.834914028005183,7.393506802890295,6.478919846013686,26.834914028005183
21,-77.25605061800331,77.25605061800331,77.25605061800331,7.37472393716044,6.486894607716111,26.759018493306783,7.37472393716044,6.486894607716111,26.759018493306783
22,-77.40679181283288,77.40679181283288,77.40679181283288,7.377017772065942,6.523629374492985,26.835411911329413,7.377017772065942,6.523629374492985,26.835411911329413
23,-77.57303022642387,77.57303022642387,77.57303022642387,7.403519645987112,6.43121306101502,27.16324932404632,7.403519645987112,6.43121306101502,27.16324932404632
24,-77.88866327666184,77.88866327666184,77.88866327666184,7.36126726746559,6.62113005646694,27.23435843173279,7.36126726746559,6.62113005646694,27.23435843173279
25,-78.74833904387985,78.74833904387985,78.74833904387985,7.3083682899652755,6.898836269900516,27.752790907158893,7.3083682899652755,6.898836269900516,27.752790907158893
26,-77.26141394432638,77.26141394432638,77.26141394432638,7.348195949087268,6.565738249431954,26.67019919978145,7.348195949087268,6.565738249431954,26.67019919978145
27,-77.4847319657698,77.4847319657698,77.4847319657698,7.394237863279953,6.453499981329606,27.034630858734474,7.394237863279953,6.453499981329606,27.034630858734474
28,-77.71377202172252,77.71377202172252,77.71377202172252,7.375848350586753,6.569535911199619,27.085397746966176,7.375848350586753,6.569535911199619,27.085397746966176
29,-77.5652650271396,77.5652650271396,77.5652650271396,7.371682141948426,6.54159516870663,27.008079156055864,7.371682141948426,6.54159516870663,27.008079156055864
30,-77.91429489602906,77.91429489602906,77.91429489602906,7.35198287295125,6.634170633669189,27.278881384357902,7.35198287295125,6.634170633669189,27.278881384357902
