gen,best_loss,mean_loss,best_b_eq_so_far,best_tau_eq_so_far,best_K_i_so_far
0.0,0.5332070542809332,0.671111148941769,0.028082207759640203,0.016869461747641028,0.0
1.0,0.578639599776332,0.7406381505585116,0.028082207759640203,0.016869461747641028,0.0
2.0,0.5611890529978969,0.785200645211133,0.028082207759640203,0.016869461747641028,0.0
3.0,0.5382262940440531,0.6414171433100808,0.028082207759640203,0.016869461747641028,0.0
4.0,0.5204103289105836,0.6049409241549544,0.025442608785603206,0.009219897048558311,0.0
5.0,0.5299153500730661,0.638442706004431,0.025442608785603206,0.009219897048558311,0.0
6.0,0.5288933097128967,0.5551574308748441,0.025442608785603206,0.009219897048558311,0.0
7.0,0.5343422313987434,0.5486745847642067,0.025442608785603206,0.009219897048558311,0.0
8.0,0.5308275073820541,0.5431059775084328,0.025442608785603206,0.009219897048558311,0.0
9.0,0.5265410133844726,0.5523327511403162,0.025442608785603206,0.009219897048558311,0.0
10.0,0.5204389922560319,0.5348154245338502,0.025442608785603206,0.009219897048558311,0.0
11.0,0.522965168216435,0.5399595605701193,0.025442608785603206,0.009219897048558311,0.0
12.0,0.5207392690395705,0.5325856434027725,0.025442608785603206,0.009219897048558311,0.0
13.0,0.5199119784451821,0.5243551396039128,0.026078553762671458,0.0053452361662305785,0.0
14.0,0.5180019691094978,0.5319661599692002,0.026614040004414096,0.0051668734571487605,0.0
15.0,0.518649936871754,0.5289886647902391,0.026614040004414096,0.0051668734571487605,0.0
16.0,0.5189747477156965,0.5221062564105731,0.026614040004414096,0.0051668734571487605,0.0
17.0,0.5186839088171951,0.5214328552574521,0.026614040004414096,0.0051668734571487605,0.0
18.0,0.5174801533498806,0.5198269484294884,0.026555833478514656,0.004772956173994685,0.0
19.0,0.516544103612441,0.5207880812802788,0.028050491277379658,0.0006173298449113013,0.0
20.0,0.5171828734446536,0.51963461372599,0.028050491277379658,0.0006173298449113013,0.0
21.0,0.5169535120872041,0.5181105652834245,0.028050491277379658,0.0006173298449113013,0.0
22.0,0.5163247730656643,0.5176885313106375,0.02726848685835145,0.0022746670909750627,0.0
23.0,0.5160065639304322,0.5173471500063329,0.027745613788993023,0.0007162549957085776,0.0
24.0,0.5159960978614874,0.5209624150593423,0.027941313728129958,0.000269549876137562,0.0
25.0,0.5161645287762263,0.5169833032822477,0.027941313728129958,0.000269549876137562,0.0
26.0,0.516244836452796,0.5176935457815062,0.027941313728129958,0.000269549876137562,0.0
27.0,0.5160589373383668,0.5169985795193199,0.027941313728129958,0.000269549876137562,0.0
28.0,0.5159869151239449,0.5165213978152404,0.02795257462518028,0.00022693213203163096,0.0
29.0,0.5159496978450074,0.5167475455029691,0.027845782677776282,0.00044179169191864464,0.0
