wall_elapsed,theta_real,theta,theta_imu_filtered_unwrapped,omega_real,omega,omega_imu_filtered,alpha_real,alpha_from_linear_accel_filtered,cmd_u_raw,hw_pwm,ina_current_raw_mA,current_mA,ina_current_corr_mA,I_filtered_mA
0.0,2.2950924263916415,2.2950924263916415,2.2950924263916415,-0.5339697403365442,0.0,-0.5339697403365442,-inf,inf,0.0,0.0,0.0,0.0,0.0,0.0
0.015586524008540437,2.286912955612376,2.328391626904896,2.286912955612376,-0.7996260029252704,2.1364096635663254,-0.7996260029252704,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0
0.03095681400736794,2.2770272878280027,2.350722147291896,2.2770272878280027,-1.0754677879596348,1.4528366340975825,-1.0754677879596348,-8400.075841424561,-17715.26482279155,0.0,0.0,0.0,0.0,0.0,0.0
0.04645979599445127,2.2618517774217466,2.3631565349629677,2.2618517774217466,-1.402229645926095,0.8020642532792597,-1.402229645926095,-2139.795718860116,-4044.364931285253,0.0,0.0,0.0,0.0,0.0,0.0
0.06221333998837508,2.2405472151359653,2.3662380148613233,2.2405472151359653,-1.7856702896398668,0.19560550308832778,-1.7856702896398668,14756.425170314556,21451.12746137984,0.0,0.0,0.0,0.0,0.0,0.0
0.07793683599447832,2.217193922370071,2.360531353429613,2.217193922370071,-2.170383088966483,-0.36293846034592564,-2.170383088966483,10929.98137808939,15843.368044836478,0.0,0.0,0.0,0.0,0.0,0.0
0.0935299480042886,2.1916607367138976,2.3468775808408333,2.1916607367138976,-2.5356380526302504,-0.875628455704632,-2.5356380526302504,2527.5572439701755,3306.430230466967,0.0,0.0,0.0,0.0,0.0,0.0
0.10891943500610068,2.158087354647763,2.326103079694488,2.158087354647763,-2.9632344908460144,-1.3499151169820707,-2.9632344908460144,-11457.16929124466,-11088.776952101773,0.0,0.0,0.0,0.0,0.0,0.0
0.12440806100494228,2.1157547715157454,2.2981989615557192,2.1157547715157454,-3.4447152013474915,-1.8015877031865766,-3.4447152013474915,-39437.83320332272,-36953.61940248482,0.0,0.0,0.0,0.0,0.0,0.0
0.13990732099046,2.071434160489316,2.263612269934828,2.071434160489316,-3.9035412247790156,-2.2315059979127017,-3.9035412247790156,-69429.7221714549,-64101.82350730912,0.0,0.0,0.0,0.0,0.0,0.0
0.15537238999968395,2.0168539418532943,2.2227496596413845,2.0168539418532943,-4.418987357633002,-2.6422520500278193,-4.418987357633002,-351409.39166903915,-282492.2187134153,0.0,0.0,0.0,0.0,0.0,0.0
0.17083892499795184,1.9603439857750447,2.1757643219201888,1.9603439857750447,-4.911113731159452,-3.037870972810494,-4.911113731159452,-331495.6867899805,-266504.1079469774,0.0,0.0,0.0,0.0,0.0,0.0
0.1864195299858693,1.8924080706337336,2.11954409389668,1.8924080706337336,-5.445013745543183,-3.6083469202323455,-5.445013745543183,-20771.659366296633,-24116.386046803702,0.0,0.0,0.0,0.0,0.0,0.0
0.2020211610069964,1.8228418695021313,2.05418101736425,1.8228418695021313,-5.944123021375928,-4.189502779800286,-5.944123021375928,-31987.43220811456,-36488.82881216466,0.0,0.0,0.0,0.0,0.0,0.0
0.2175273909815587,1.7410533736279294,1.9838009759562227,1.7410533736279294,-6.463487823329043,-4.538823525994657,-6.463487823329043,32680.495983020402,25521.81377389509,0.0,0.0,0.0,0.0,0.0,0.0
0.2330191789951641,1.6469436486208295,1.9070360620888263,1.6469436486208295,-6.995003939080011,-4.9552003810005125,-6.995003939080011,41511.873621941384,32518.762689487412,0.0,0.0,0.0,0.0,0.0,0.0
0.24864939198596403,1.5524917662645144,1.8234672202884041,1.5524917662645144,-7.4956258061869665,-5.346622074159296,-7.4956258061869665,20613.552511806804,16169.813430106471,0.0,0.0,0.0,0.0,0.0,0.0
0.26419436698779464,1.4454327232428241,1.7344289837748286,1.4454327232428241,-7.980917269502267,-5.7277825472919925,-7.980917269502267,-36748.56357639871,-32126.81185771461,0.0,0.0,0.0,0.0,0.0,0.0
0.2797996590088587,1.3389269627354339,1.6391825351107148,1.3389269627354339,-8.385966998638343,-6.1034710875996385,-8.385966998638343,-9231.70276362134,-8560.763779363697,0.0,0.0,0.0,0.0,0.0,0.0
0.2951479420007672,1.220242527633404,1.5400742899542976,1.220242527633404,-8.769016704447406,-6.457285496277739,-8.769016704447406,26068.04656753596,28032.94049364666,0.0,0.0,0.0,0.0,0.0,0.0
0.31048469300731085,1.1032351532397904,1.435870974804156,1.1032351532397904,-9.082350480178611,-6.794353974038033,-9.082350480178611,30816.902601110247,33213.78651369354,0.0,0.0,0.0,0.0,0.0,0.0
0.32592617999762297,0.9751977779401421,1.3261416566266622,0.9751977779401421,-9.32296982233533,-7.106136750064123,-9.32296982233533,-1953.32725144305,-2560.60012842134,0.0,0.0,0.0,0.0,0.0,0.0
0.34186874999431893,0.8378481986891533,1.2083046369845147,0.8378481986891533,-9.476926662090849,-7.391344034654966,-9.476926662090849,-2089.3206701254167,1117.8263831774602,0.0,0.0,0.0,0.0,0.0,0.0
0.35718454999732785,0.7049424065561906,1.1046261946815348,0.7049424065561906,-9.564517935119087,-6.769378176955272,-9.564517935119087,342.3305028615432,1930.319832954934,0.0,0.0,0.0,0.0,0.0,0.0
0.37259856500895694,0.5648652740644604,1.002511853780971,0.5648652740644604,-9.534013715586713,-6.624772379131819,-9.534013715586713,631.0307676751399,-404.5538407792483,0.0,0.0,0.0,0.0,0.0,0.0
0.38810849699075334,0.4306418414824008,0.896433386442504,0.4306418414824008,-9.443470241532081,-6.839389590036146,-9.443470241532081,-10637.927890426712,8636.471394612221,0.0,0.0,0.0,0.0,0.0,0.0
0.40356806298950687,0.2921029196175486,0.7884206857236137,0.2921029196175486,-9.21398914969205,-6.9867873863728756,-9.21398914969205,-5735.830845823177,2459.149578834942,0.0,0.0,0.0,0.0,0.0,0.0
0.4189864200016018,0.16082838592369034,0.6793763954356077,0.16082838592369034,-8.937850386652512,-7.0723677109348575,-8.937850386652512,138704.03522472596,-21771.913969686255,0.0,0.0,0.0,0.0,0.0,0.0
0.4344414639926981,0.027740198044558406,0.5697663158884027,0.027740198044558406,-8.598317331093146,-7.0921881303186005,-8.598317331093146,7895.954243330714,-154.92254691745256,0.0,0.0,0.0,0.0,0.0,0.0
0.4499723539920524,-0.09729243302935003,0.4603742310442746,-0.09729243302935003,-8.212521656885174,-7.043516813825642,-8.212521656885174,-49847.84586735151,-9881.350983492739,0.0,0.0,0.0,0.0,0.0,0.0
0.4654470169916749,-0.22109608746763432,0.3531882188081494,-0.22109608746763432,-7.699548005380463,-6.926549045930098,-7.699548005380463,-9491.118976439917,-2807.010444910222,0.0,0.0,0.0,0.0,0.0,0.0
0.48086959100328386,-0.33601581824507876,0.2491588570594545,-0.33601581824507876,-7.187414097230584,-6.745265846699094,-7.187414097230584,-15773.86252626123,-5648.645277843647,0.0,0.0,0.0,0.0,0.0,0.0
0.4964626079890877,-0.4470335688187658,0.14782457029155224,-0.4470335688187658,-6.562038796446304,-6.4986966191442574,-6.562038796446304,3950.8923118906205,1651.122894457374,0.0,0.0,0.0,0.0,0.0,0.0
0.5122234179871157,-0.5520104051117203,0.05029869545367763,-0.5520104051117203,-5.852561914709504,-6.187871997065974,-5.852561914709504,10022.988236213823,4545.831885104308,0.0,0.0,0.0,0.0,0.0,0.0
0.5276369850034826,-0.6470077379554002,-0.03957588183298472,-0.6470077379554002,-5.168845085209194,-5.830874656802631,-5.168845085209194,46814.143026947335,24464.908374289458,0.0,0.0,0.0,0.0,0.0,0.0
0.5430677619879134,-0.7338562702902918,-0.12338936255006161,-0.7338562702902918,-4.404785044275302,-5.431578772840936,-4.404785044275302,273199.1654105481,150795.15344348096,0.0,0.0,0.0,0.0,0.0,0.0
0.5584756179887336,-0.8109081682380862,-0.2003189035653886,-0.8109081682380862,-3.682078425856148,-4.99287772492371,-3.682078425856148,-34592.9810029062,-21001.828521530006,0.0,0.0,0.0,0.0,0.0,0.0
0.5741629749827553,-0.8781047532283007,-0.27116810526877533,-0.8781047532283007,-2.9125878277548214,-4.516324944373152,-2.9125878277548214,2348.9568683720904,1538.88472701118,0.0,0.0,0.0,0.0,0.0,0.0
0.5902427239925601,-0.9361915279298901,-0.33555134807598797,-0.9361915279298901,-2.213503188268841,-4.003995508136007,-2.213503188268841,4581.726556698141,3312.840414522155,0.0,0.0,0.0,0.0,0.0,0.0
0.605548147985246,-0.9835831619940362,-0.3891542033242111,-0.9835831619940362,-1.4826213042226741,-3.50221302420883,-1.4826213042226741,6140.623416813361,4609.9758107937705,0.0,0.0,0.0,0.0,0.0,0.0
0.6209931279881857,-1.0226729460502983,-0.43535188123174556,-1.0226729460502983,-0.8038507420456006,-2.99111283399148,-0.8038507420456006,183205.862779987,134498.93719557486,0.0,0.0,0.0,0.0,0.0,0.0
0.6364418219891377,-1.0504316915010892,-0.4736438190170275,-1.0504316915010892,-0.10579711767844235,-2.4786520972531663,-0.10579711767844235,257618.2732313112,188994.95222944982,0.0,0.0,0.0,0.0,0.0,0.0
0.6518744640052319,-1.0664588343713546,-0.504095367829763,-1.0664588343713546,0.5921535910198515,-1.9731909015305806,0.5921535910198515,-441628.4262269238,-343894.70120520086,0.0,0.0,0.0,0.0,0.0,0.0
0.6673057709995192,-1.07574068176985,-0.526924396528777,-1.07574068176985,1.2259442958478262,-1.4793969627760772,1.2259442958478262,-483450.3803800286,-376658.2420592276,0.0,0.0,0.0,0.0,0.0,0.0
0.6828124839812517,-1.0730203801787388,-0.542424605427722,-1.0730203801787388,1.8619155770202662,-0.9995805634117778,1.8619155770202662,54776.15375805754,41954.2495930495,0.0,0.0,0.0,0.0,0.0,0.0
0.698220513004344,-1.0646376883953332,-0.550795345520095,-1.0646376883953332,2.441383791192507,-0.5432713087330996,2.441383791192507,82410.74461112916,63013.74164434799,0.0,0.0,0.0,0.0,0.0,0.0
