wall_time,sim_time,mode,cmd_u_raw,cmd_u_used,tau_cmd,theta,omega,alpha,hw_pwm,hw_enc,hw_arduino_ms,bus_v,current_A,power_W,v_pred,i_pred,p_pred,delay_ms,J_est,b_est,tau_c_est,mgl_est,k_t_est,i0_est,inst_cost,best_cost_so_far,imu_qw,imu_qx,imu_qy,imu_qz,imu_wx,imu_wy,imu_wz,imu_ax,imu_ay,imu_az,cpr_last,cpr_mean
1774183541.4204872,0.001,manual,0.0,0.0,0.0,-0.1745322144943563,0.0007107050766600357,0.14214101533200715,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.08,0.55,0.25,0.05,16.428,16.428,0.996194729062697,5.712572003731309e-21,-1.906233915295309e-20,-0.08715538874733803,0.0,0.0,0.0007107050766600357,0.0,0.0,0.0,,
1774183541.430613,0.002,manual,0.0,0.0,-0.0011601494617887868,-0.17453094429062105,0.0012702037352633898,0.22561254398627656,0.0,0.0,0.0,7.4,0.0,0.0,0.0,-7.107050766600357e-06,-0.0,0.0,0.01,0.03,0.08,0.55,0.25,0.05,16.428000000025257,16.428,0.9961947844150463,-6.58474840427541e-18,5.582535383738945e-19,-0.08715475606218749,0.0,0.0,0.0012702037352633898,0.14525241651895784,0.23250976538879645,-3.542386529152283e-12,,
1774183541.4406853,0.003,manual,0.0,0.0,-0.0020731705119354403,-0.1745292814212953,0.0016628693256963928,0.25902315327562186,0.0,0.0,0.0,7.4,0.0,0.0,0.0,-1.2702037352633898e-05,-0.0,0.0,0.01,0.03,0.08,0.55,0.25,0.05,16.428000000080672,16.428,0.9961948568781872,9.2018335520032e-20,5.052610742187673e-21,-0.08715392779128266,0.0,0.0,0.0016628693256963928,0.10144053164330159,0.0024434610966507465,-5.087803762627859e-14,,
1774183541.452257,0.004,manual,0.0,0.0,-0.0027136536891227245,-0.1745273325890986,0.0019488321967458663,0.2644110968303922,0.0,0.0,0.0,7.4,0.0,0.0,0.0,-1.6628693256963928e-05,-0.0,0.0,0.01,0.03,0.08,0.55,0.25,0.05,16.42800000013826,16.428,0.9961949418019045,9.883976723878374e-18,-8.537421889896041e-19,-0.08715295708293563,0.0,0.0,0.0019488321967458663,0.07373367646589987,-0.018607482741129427,5.3914859485422155e-12,,
1774183541.4614115,0.005,manual,0.0,0.0,-0.003179890520375492,-0.17452517377755544,0.002158811543218394,0.2535247467588193,0.0,0.0,0.0,7.4,0.0,0.0,0.0,-1.9488321967458662e-05,-0.0,0.0,0.01,0.03,0.08,0.55,0.25,0.05,16.428000000189897,16.428,0.996195035874729,-5.038552495138838e-18,4.609530134185096e-19,-0.08715188178431504,0.0,0.0,0.002158811543218394,0.05416093958988141,-0.01036196228909619,-2.596002174750508e-12,,
1774183541.4714715,0.006,manual,0.0,0.0,-0.003522115081865809,-0.1745228609513771,0.0023128261783492542,0.2336227244332275,0.0,0.0,0.0,7.4,0.0,0.0,0.0,-2.158811543218394e-05,-0.0,0.0,0.01,0.03,0.08,0.55,0.25,0.05,16.428000000233023,16.428,0.9961951366576397,-2.301329429628474e-18,2.1693781631383275e-19,-0.08715072977127791,0.0,0.0,0.0023128261783492542,0.03973298392071726,-0.006901681781918932,-1.3951662196492708e-12,,
1774183541.4813383,0.007,manual,0.0,0.0,-0.0037730516994970045,-0.17452043520223778,0.002425749139329495,0.2094827717426302,0.0,0.0,0.0,7.4,0.0,0.0,0.0,-2.3128261783492544e-05,-0.0,0.0,0.01,0.03,0.08,0.55,0.25,0.05,16.42800000026746,16.428,0.9961952423598108,-1.2446947863974125e-18,1.218911700956743e-19,-0.08714952151146613,0.0,0.0,0.002425749139329495,0.029131871918484084,-0.005108650927223952,-6.405575555478812e-13,,
1774183541.491092,0.008,manual,0.0,0.0,-0.003956993270432434,-0.174517926652083,0.002508550154789289,0.18414642048606297,0.0,0.0,0.0,7.4,0.0,0.0,0.0,-2.425749139329495e-05,-0.0,0.0,0.01,0.03,0.08,0.55,0.25,0.05,16.428000000294215,16.428,0.9961953516685,2.7303603499810303e-18,-2.6204543568989615e-19,-0.08714827200853288,0.0,0.0,0.002508550154789289,0.02136083885351909,-0.0037658727692525687,1.4712111655571984e-12,,
1774183541.5016234,0.009000000000000001,manual,0.0,0.0,-0.004091843863913957,-0.1745153573854034,0.002569266679593791,0.1594604413497508,0.0,0.0,0.0,7.4,0.0,0.0,0.0,-2.5085501547892893e-05,-0.0,0.0,0.01,0.03,0.08,0.55,0.25,0.05,16.428000000314643,16.428,0.9961954636212538,-5.242671672370916e-18,4.783006100339863e-19,-0.08714699226269927,0.0,0.0,0.002569266679593791,0.015663620503417693,-0.002760692163624273,-2.820403046940768e-12,,
1774183541.5151331,0.010000000000000002,manual,0.0,0.0,-0.0041907135242297755,-0.17451274359709518,0.002613788308236941,0.1364726788084306,0.0,0.0,0.0,7.4,0.0,0.0,0.0,-2.5692666795937913e-05,-0.0,0.0,0.01,0.03,0.08,0.55,0.25,0.05,16.42800000033006,16.428,0.9961955775122977,7.64921304844177e-19,-4.9546565084119236e-20,-0.08714569034059708,0.0,0.0,0.002613788308236941,0.011485774014926675,-0.0020232516670137964,3.213796974522777e-13,,
