episode,reward,train_loss,val_loss,rmse_theta,rmse_omega,rmse_alpha,val_rmse_theta,val_rmse_omega,val_rmse_alpha
1,-105.49581511179416,10.24537112359809,10.24537112359809,0.06480922457310861,0.4518761959829255,10.97169029762434,0.06480922457310861,0.4518761959829255,10.97169029762434
2,-58.10600594951824,15.346817001121533,15.346817001121533,0.09195220699024159,0.5995717990855469,16.69546486868298,0.09195220699024159,0.5995717990855469,16.69546486868298
3,-96.9012574954972,14.525765709578696,14.525765709578696,0.10037665719799149,0.7674756789420065,15.073542925696044,0.10037665719799149,0.7674756789420065,15.073542925696044
4,-543.3240720259095,24.093917068239314,24.093917068239314,0.2726527981230989,1.7309350309948437,22.874620769778428,0.2726527981230989,1.7309350309948437,22.874620769778428
5,-69.75335230667162,18.474941260557323,18.474941260557323,0.098629433442987,0.6864191182066849,20.302440858813704,0.098629433442987,0.6864191182066849,20.302440858813704
6,-101.15280073600297,18.15214334373071,18.15214334373071,0.11617241250168016,0.8039264751199965,19.413385008529172,0.11617241250168016,0.8039264751199965,19.413385008529172
7,-76.89902934125163,12.910394181792038,12.910394181792038,0.07250734371990643,0.47121936910226164,14.18119520244369,0.07250734371990643,0.47121936910226164,14.18119520244369
8,-85.69824119736897,19.164898288488317,19.164898288488317,0.1662423306822254,1.1375988983650893,19.28009032755653,0.1662423306822254,1.1375988983650893,19.28009032755653
9,-79.4749127902687,20.12789488603296,20.12789488603296,0.10305476202426012,0.7333617618150409,22.16901814861718,0.10305476202426012,0.7333617618150409,22.16901814861718
10,-64.68388471944682,12.983716580796054,12.983716580796054,0.15245683987662917,0.8231243170280572,12.636380405940251,0.15245683987662917,0.8231243170280572,12.636380405940251
11,-70.54968425179482,9.74794133917699,9.74794133917699,0.05257386395678599,0.33649812489165415,10.791043008381829,0.05257386395678599,0.33649812489165415,10.791043008381829
12,-312.4690343730316,49.7029660746575,49.7029660746575,0.3841230768765973,2.798545216032321,50.777192706200154,0.3841230768765973,2.798545216032321,50.777192706200154
13,-94.16359579578867,22.17397535597732,22.17397535597732,0.1555545396957982,0.8535188590203117,24.02652026357073,0.1555545396957982,0.8535188590203117,24.02652026357073
14,-50.182595025486535,14.099705093221369,14.099705093221369,0.0786766689155352,0.535021822965926,15.436073474631566,0.0786766689155352,0.535021822965926,15.436073474631566
15,-82.42475209611354,14.832949660892996,14.832949660892996,0.0758944317379477,0.7026233365955555,15.819359956522211,0.0758944317379477,0.7026233365955555,15.819359956522211
16,-76.32263723714544,15.445808097584614,15.445808097584614,0.15402583605270814,0.9789949265365884,15.215384747482336,0.15402583605270814,0.9789949265365884,15.215384747482336
17,-90.46449617101467,18.191431158564576,18.191431158564576,0.2205135350857499,1.508088556711695,16.5308927756318,0.2205135350857499,1.508088556711695,16.5308927756318
18,-53.47566299129794,10.765386696365875,10.765386696365875,0.08451996465453393,0.49922930481366173,11.329478648412163,0.08451996465453393,0.49922930481366173,11.329478648412163
19,-27.63806112874716,15.340908397170589,15.340908397170589,0.08314011429711458,0.5085438761694219,17.055157119517027,0.08314011429711458,0.5085438761694219,17.055157119517027
20,-84.44665293504633,23.528351090291036,23.528351090291036,0.1983527919207095,1.4754074575696883,23.475074372186654,0.1983527919207095,1.4754074575696883,23.475074372186654
21,-43.969013015721,14.652001430031582,14.652001430031582,0.17386697472355203,1.154931516544043,13.526211370514336,0.17386697472355203,1.154931516544043,13.526211370514336
22,-55.62875894740786,9.91018690493865,9.91018690493865,0.08284069185191523,0.4831179817848455,10.340246043679278,0.08284069185191523,0.4831179817848455,10.340246043679278
23,-62.94350056161617,21.039928626159096,21.039928626159096,0.22585295019172758,1.52734771685013,19.989867309696557,0.22585295019172758,1.52734771685013,19.989867309696557
24,-84.30773995066869,11.951546711200297,11.951546711200297,0.09846165248697784,0.6650783002482324,12.210193797511899,0.09846165248697784,0.6650783002482324,12.210193797511899
25,-72.69134792497378,14.976770774092463,14.976770774092463,0.10880740286281414,0.6441587281848729,15.98079978858934,0.10880740286281414,0.6441587281848729,15.98079978858934
26,-44.58951685090296,12.428234279909661,12.428234279909661,0.11826310120138234,0.7833523142957182,12.283518341001688,0.11826310120138234,0.7833523142957182,12.283518341001688
27,-74.13024202290296,16.085823110827544,16.085823110827544,0.11975915709748085,0.6043465648194101,17.438329529083415,0.11975915709748085,0.6043465648194101,17.438329529083415
28,-59.05729287045617,21.251346465414997,21.251346465414997,0.1756518985586464,1.2977594102887282,21.30740644577773,0.1756518985586464,1.2977594102887282,21.30740644577773
29,-69.60575631771981,20.460896131703162,20.460896131703162,0.1048419089501608,0.8973194915393891,22.09565411500714,0.1048419089501608,0.8973194915393891,22.09565411500714
30,-46.07545838737165,15.890398699397295,15.890398699397295,0.09857991452856725,0.772621607586449,16.789130528103982,0.09857991452856725,0.772621607586449,16.789130528103982
31,-66.50580678064111,20.669273094484343,20.669273094484343,0.1595267826379742,0.9773509820534279,21.715567219926896,0.1595267826379742,0.9773509820534279,21.715567219926896
32,-71.3528670127362,21.298237221355734,21.298237221355734,0.23093592675499758,1.562608370195141,20.167842223020834,0.23093592675499758,1.562608370195141,20.167842223020834
33,-89.86620914374524,20.297481336621722,20.297481336621722,0.21012884427019551,1.410047920175426,19.543596934048704,0.21012884427019551,1.410047920175426,19.543596934048704
34,-24.694067089257217,12.249552331468257,12.249552331468257,0.05503032959336094,0.41479690018106913,13.654432432804475,0.05503032959336094,0.41479690018106913,13.654432432804475
35,-80.67924924314869,15.894696599083822,15.894696599083822,0.09500705516268958,0.7725016374894612,16.81337741336648,0.09500705516268958,0.7725016374894612,16.81337741336648
36,-56.03434187188539,15.388694405043385,15.388694405043385,0.1799778979039423,1.2356342187024667,14.149279277767599,0.1799778979039423,1.2356342187024667,14.149279277767599
37,-41.30554023536952,17.90600478319408,17.90600478319408,0.07351379266121973,0.5626417179025294,20.144386379523393,0.07351379266121973,0.5626417179025294,20.144386379523393
38,-70.03524566052926,11.335623903162714,11.335623903162714,0.059216345524409034,0.49083088016291493,12.22228452041422,0.059216345524409034,0.49083088016291493,12.22228452041422
39,-28.899130407186732,12.687780011892935,12.687780011892935,0.08508920633381535,0.6321913436043335,13.305103328911388,0.08508920633381535,0.6321913436043335,13.305103328911388
40,-82.80642720041314,23.501825794907038,23.501825794907038,0.2849789289217417,1.9886427648421119,21.247173028523243,0.2849789289217417,1.9886427648421119,21.247173028523243
41,-65.03257835539303,15.612477342799659,15.612477342799659,0.12449426857080231,0.8576690430892626,16.015835299600948,0.12449426857080231,0.8576690430892626,16.015835299600948
42,-54.285385692209516,16.466030783191336,16.466030783191336,0.09414132814682015,0.5786622012743509,18.144848687787306,0.09414132814682015,0.5786622012743509,18.144848687787306
43,-57.64507028824146,12.625755429056312,12.625755429056312,0.1391060724482944,0.6213493529028526,12.90850458720562,0.1391060724482944,0.6213493529028526,12.90850458720562
44,-78.68263894643226,15.403940378349422,15.403940378349422,0.1205152919070574,0.7864484480250615,15.981323533176274,0.1205152919070574,0.7864484480250615,15.981323533176274
45,-56.56921148990348,11.855626337566216,11.855626337566216,0.08506952755392007,0.6212692497209387,12.299066409111335,0.08506952755392007,0.6212692497209387,12.299066409111335
46,-70.4348309385855,14.15674393151253,14.15674393151253,0.12093679262934838,0.7106672092885794,14.66282895740204,0.12093679262934838,0.7106672092885794,14.66282895740204
47,-38.33150948809366,11.24392698069735,11.24392698069735,0.064198816711043,0.4886479600762082,12.11415093646768,0.064198816711043,0.4886479600762082,12.11415093646768
48,-57.005799691730324,17.66314839557627,17.66314839557627,0.0818816316082764,0.596879202815952,19.67012393480363,0.0818816316082764,0.596879202815952,19.67012393480363
49,-76.0030974392848,18.40168328986392,18.40168328986392,0.13829060944279184,1.0513405152288586,18.788825556384456,0.13829060944279184,1.0513405152288586,18.788825556384456
50,-67.24146766973885,17.791298820684148,17.791298820684148,0.19962992947280514,1.3079870147963562,16.79244656553049,0.19962992947280514,1.3079870147963562,16.79244656553049
51,-59.55980136790378,12.409064049779733,12.409064049779733,0.1382834023946118,0.8869988569812386,11.814900468028888,0.1382834023946118,0.8869988569812386,11.814900468028888
52,-55.799453587045384,13.538407125388572,13.538407125388572,0.12193639577953079,0.8393834178450289,13.469705248230522,0.12193639577953079,0.8393834178450289,13.469705248230522
53,-146.806964705678,22.733304912513606,22.733304912513606,0.2840206650417904,1.946893399234238,20.411087286577775,0.2840206650417904,1.946893399234238,20.411087286577775
54,-14.54590923192846,9.056223249299821,9.056223249299821,0.047813081380529227,0.32299383380986996,9.992854231393443,0.047813081380529227,0.32299383380986996,9.992854231393443
55,-45.688647889181965,12.88245070129926,12.88245070129926,0.09278411664504292,0.6820247280491796,13.36722522640675,0.09278411664504292,0.6820247280491796,13.36722522640675
56,-76.58535807265095,18.25839355571058,18.25839355571058,0.15208261812039683,0.8315669264753436,19.223923936369562,0.15208261812039683,0.8315669264753436,19.223923936369562
57,-42.626331528926585,12.51874303535523,12.51874303535523,0.06733715993597732,0.507821232803315,13.606854197978494,0.06733715993597732,0.507821232803315,13.606854197978494
58,-63.56045027602109,12.377246654453948,12.377246654453948,0.105101200756212,0.514132141210465,13.161520379336801,0.105101200756212,0.514132141210465,13.161520379336801
59,-55.802719289435764,19.492914911589544,19.492914911589544,0.1494512892046201,1.1878050822719308,19.665344934176794,0.1494512892046201,1.1878050822719308,19.665344934176794
60,-36.040612386983945,10.440354357575751,10.440354357575751,0.08529939253687291,0.5266276362271759,10.829964732570293,0.08529939253687291,0.5266276362271759,10.829964732570293
61,-28.62432211787582,9.919450739645681,9.919450739645681,0.05893916998283732,0.47228376788562443,10.530803645448282,0.05893916998283732,0.47228376788562443,10.530803645448282
62,-27.64125613889001,11.282580052316302,11.282580052316302,0.08238261893483431,0.42616453458739956,12.23943809272296,0.08238261893483431,0.42616453458739956,12.23943809272296
63,-51.509548515945596,15.60860337087074,15.60860337087074,0.12985831314768218,0.9665670643395825,15.607319124122926,0.12985831314768218,0.9665670643395825,15.607319124122926
64,-69.13623633551393,19.804931632982345,19.804931632982345,0.24437316183689897,1.6599106371046275,17.913517963398288,0.24437316183689897,1.6599106371046275,17.913517963398288
65,-65.1123053560488,13.002941927626763,13.002941927626763,0.043461848988243505,0.4011336210626027,14.701854009279398,0.043461848988243505,0.4011336210626027,14.701854009279398
66,-43.995391758567855,15.554757363326829,15.554757363326829,0.12084920161711432,0.6244942634001123,16.68733804422031,0.12084920161711432,0.6244942634001123,16.68733804422031
67,-78.30674651046394,19.593416626281073,19.593416626281073,0.16187898090744265,0.9145570393083958,20.564773200824764,0.16187898090744265,0.9145570393083958,20.564773200824764
68,-70.06641781690259,12.588783976585473,12.588783976585473,0.10430024056033972,0.7232222421623195,12.762614704348977,0.10430024056033972,0.7232222421623195,12.762614704348977
