epoch,train_loss,val_loss
1,0.010700170105944077,0.001540249524017175
2,0.0034523975724975267,0.001327057834714651
3,0.002106719029446443,0.0019446460452551644
4,0.0015192803176533845,0.0016014222443724673
5,0.0012198256380442116,0.001248026848770678
6,0.0011844512644327348,0.0008839621247413257
7,0.0011488984002628261,0.0016805959166958928
8,0.0011062209183971088,0.00102940114447847
9,0.0009742015261306531,0.0013019903562963009
10,0.0008874087749669949,0.0011998481350019574
11,0.0008562226236487428,0.0010344660258851945
12,0.0009806695808139113,0.0015294325615589817
13,0.000861825382647415,0.0010099206701852381
14,0.0008180820279651218,0.0014584232509757082
15,0.000788074174326741,0.0016971393294321995
16,0.0008235546216989557,0.001714993598094831
17,0.0008240127030553089,0.0008969317811230818
18,0.000782357030806856,0.0012557082227431238
19,0.0007427291841142707,0.0021215690843140087
20,0.0007183895989631613,0.0015729341151503224
21,0.0006786464622968601,0.0016231590804333489
22,0.0006514613115642634,0.0017207874916493893
23,0.0006507101028950678,0.0018320110393688083
24,0.0007061500218696892,0.0013207032170612365
25,0.0006450910037124737,0.0015973573705802362
26,0.0006733409762899908,0.0009394068620167673
27,0.0007944596776117882,0.0015189259235436718
28,0.000685619655996561,0.00120545516256243
29,0.0007067081621951527,0.001388376229442656
30,0.0007130187845581935,0.0016470210393890738
31,0.0007343696650221116,0.0009673260695611438
32,0.0007651041636967824,0.0010801479608441393
33,0.0006376321479264232,0.0014290079707279801
34,0.000694181414372805,0.0017154777112106483
35,0.0006133431678689602,0.0009452905408882847
36,0.0005522061773161921,0.0012710973193558555
37,0.0006034692180239492,0.0014162564572567742
38,0.0007688453964268168,0.0006184873054735363
39,0.0008214546574486627,0.0008901710583207508
40,0.00078693979109327,0.000990142987575382
41,0.0007484129229043093,0.0015121507070337732
42,0.0006371512232969204,0.0010767149506136775
43,0.0006805467613351842,0.0006843439963025352
44,0.0006221313152410504,0.0008233759726863354
45,0.0006412518171903988,0.0009488101738194624
46,0.0006194492646803459,0.000790930527728051
47,0.0006680331943142745,0.0012393538102818031
48,0.0006927734551330408,0.001683211768977344
49,0.0007198394612512655,0.0009250988271863511
50,0.0006494709264693989,0.0006307255922971914
51,0.0005978366308328179,0.0008793760789558291
52,0.0005720827773782528,0.0012489614115717511
53,0.0006030050248632,0.0008782638760749251
54,0.0006294845920314805,0.0006173509561146299
55,0.0006299557442414678,0.0007113062407976637
56,0.0005130149559893956,0.00043708845623768866
57,0.0006208134064864782,0.0011897131723041336
58,0.000673921261396673,0.0008033732883632183
59,0.0008548821464905308,0.001156497261642168
60,0.0006996247878608605,0.0006698430321800212
61,0.0006374545434179405,0.001168694521766156
62,0.0005664038148501681,0.0005904435432360818
63,0.0004897157066605157,0.0005172290257178247
64,0.0005711470407226847,0.0007958885689731687
65,0.0006357844880161186,0.0007689937192481011
66,0.0005964092787406924,0.0008408864280985048
67,0.0005473645481591424,0.000577686606751134
68,0.0005359974715651737,0.0011553458947067459
69,0.0006134089295907567,0.0003466254226320113
70,0.0007820334350172845,0.0003737775599195932
71,0.0006980714970268309,0.0004493359398717682
72,0.0005856431768431017,0.0003859501836510996
73,0.00047921187231420644,0.0004880227691804369
74,0.00044073911461358267,0.0006621152472992738
75,0.0005488802982856416,0.00043141199663902324
76,0.0004634651413653046,0.0008092060258301595
77,0.0005312104702978912,0.0004672048962675035
78,0.0005676895347682552,0.0008489776325101653
79,0.0005828184334354268,0.0004398779710754752
80,0.000630466057272214,0.0004943509023481359
81,0.0005699071334674954,0.0006089673455183705
82,0.00048130692448467016,0.0005311240383889526
83,0.000484137514528508,0.0004964900144841522
84,0.0005493610967985458,0.0006363140516138325
85,0.0005851644252996064,0.0005706822654853264
86,0.0005296993864855418,0.0003723894090702136
87,0.000442063878937107,0.0004900316125713289
88,0.0004697906648895393,0.0006515545343669752
89,0.00043499393763744994,0.0009146597779666384
90,0.00045421580822827917,0.00042301055509597063
91,0.0004522813218904452,0.0007455115749811133
92,0.000655791609056501,0.00030355398484971374
93,0.0005584028387804412,0.0004929585362939785
94,0.000624592215495391,0.00048527622129768133
95,0.0005314996524248272,0.00037530238235679764
96,0.0005823035252332273,0.0004321858480883141
97,0.00045067847370066575,0.0005889699677936733
98,0.0005058717150758537,0.000600390718318522
99,0.000536421853919617,0.0006712671020068228
100,0.00043359867090152367,0.0004296393017284572
101,0.0005098339331905461,0.00036333437795595575
102,0.0005428322021745973,0.0003230205523626258
103,0.0005637086643319991,0.0007028817587221662
104,0.0005119432624067283,0.0011107892884562414
105,0.0007933927376547621,0.0002782985393423587
106,0.0007845114677264872,0.000427859651002412
107,0.0005059980839076969,0.0006761312833987176
108,0.0006971496428983907,0.00047899001704839367
109,0.0008601146336230966,0.00033227123397712904
110,0.0007399376093720397,0.0003059563459828496
111,0.0005840908205654058,0.00037368621269706637
112,0.0004688794595292873,0.00047381131056075293
113,0.00046253539363129274,0.000532855784210066
114,0.0005181418738276181,0.00031874536216491833
115,0.0006142901450706025,0.0006071955237227181
116,0.00059228335481344,0.0010964489774778485
117,0.0007750052965194401,0.0006053285809078565
118,0.0009045628442739447,0.0003101385373156518
119,0.0009253820818331507,0.0006740423268638551
120,0.0006307657135443555,0.0005492749041877687
