#{"t_start": 1774919753.9932756, "env_id": "None"}
r,l,t
-189.054567,12,0.897914
-184.191514,12,1.370589
-198.237631,12,1.844526
-186.068156,12,2.320148
-184.71159,12,3.139243
-186.558288,12,3.627311
-185.171952,12,4.117573
-185.217753,12,4.611119
-184.743371,12,5.28852
-187.816236,12,5.775939
-185.612225,12,6.262445
-186.394149,12,6.749405
-185.749223,12,7.372474
-185.648139,12,7.85936
-186.22666,12,8.343487
-209.520423,12,8.82959
-192.618609,12,9.420632
-186.330315,12,9.909453
-185.875371,12,10.399189
-187.990075,12,10.887961
-185.332365,12,11.475814
-183.257131,12,11.958809
-184.932516,12,12.441826
-184.879163,12,12.924543
-184.443711,12,13.595483
-184.609514,12,14.078103
-185.273973,12,14.559655
-183.105285,12,15.052773
-189.434836,12,15.702655
-185.233953,12,16.18324
-185.872659,12,16.668272
-186.144738,12,17.154058
-183.451077,12,17.805533
-186.32059,12,18.283464
-185.532134,12,18.767706
-185.098184,12,19.253852
-187.766101,12,19.919804
-184.414675,12,20.398841
-185.143771,12,20.877647
-184.188617,12,21.35454
-184.673156,12,21.935178
-186.601344,12,22.418447
-185.917457,12,22.900198
-191.951728,12,23.383827
-184.614917,12,23.973584
-186.167416,12,24.451264
-184.704135,12,24.927811
-184.835807,12,25.406624
-185.866077,12,26.012856
-183.802994,12,26.496448
-186.915777,12,26.976987
-183.81403,12,27.458177
-185.372025,12,28.0703
-186.233263,12,28.562309
-186.697305,12,29.048235
-186.234317,12,29.534105
-186.091838,12,30.123144
-185.512661,12,30.607385
-185.134562,12,31.09328
-184.431422,12,31.576652
-185.861643,12,32.210272
-184.177459,12,32.695598
-184.986455,12,33.178545
-185.090566,12,33.663182
-181.875058,12,34.242264
-185.452716,12,34.721079
-184.408305,12,35.200011
-184.676094,12,35.67809
-184.775162,12,36.263112
-185.925356,12,36.750867
-183.884169,12,37.238088
-186.446988,12,37.724795
-211.357829,12,38.312312
-184.168246,12,38.806338
-185.357099,12,39.29016
-185.322425,12,39.777845
-185.595798,12,40.448186
-184.475983,12,40.939559
-186.275252,12,41.424338
-185.340257,12,41.904969
-184.996937,12,42.492253
-185.145505,12,42.981309
-185.101317,12,43.47106
-185.683118,12,43.951501
-185.322197,12,44.534943
-184.717469,12,45.016104
-185.309563,12,45.498537
-185.180164,12,45.984581
-187.453754,12,46.570267
-185.012653,12,47.050905
-184.876032,12,47.531078
-184.135539,12,48.017441
-187.054997,12,48.607593
-186.686694,12,49.095205
-185.359984,12,49.579458
-185.606237,12,50.062466
-187.207469,12,50.760566
-184.575468,12,51.245182
-184.783731,12,51.730831
-185.934247,12,52.210817
-184.865833,12,52.846488
-184.173148,12,53.332988
-184.263056,12,53.819957
-184.792568,12,54.304536
-184.509235,12,54.938109
-185.522592,12,55.424356
-184.983816,12,55.914438
-185.002939,12,56.402246
-186.355086,12,57.048566
-184.037369,12,57.538069
-184.920927,12,58.026086
-183.500802,12,58.519099
-183.962987,12,59.171801
-183.999525,12,59.658471
-184.514875,12,60.14694
-184.039719,12,60.632569
-185.004975,12,61.24786
-183.936941,12,61.732558
-184.119357,12,62.219148
-184.242509,12,62.704568
-184.055701,12,63.330093
-183.688882,12,63.826084
-184.822598,12,64.319783
-183.930716,12,64.811144
-184.291615,12,65.524119
-183.609372,12,66.012754
-184.483407,12,66.505204
-184.187466,12,66.995798
-185.240718,12,67.621367
-184.536289,12,68.112804
-184.379628,12,68.603975
-183.654902,12,69.094441
-183.814659,12,69.738777
-183.24261,12,70.228276
-186.398022,12,70.716087
-184.952073,12,71.203665
-183.590624,12,71.826935
-183.365836,12,72.315767
-184.038093,12,72.804982
-183.499179,12,73.296426
-184.024688,12,73.919973
-185.227119,12,74.40949
-184.463213,12,74.899647
-185.275784,12,75.389108
-185.868581,12,75.982755
-187.43059,12,76.471926
-184.135624,12,76.961941
-184.838766,12,77.45206
-185.417443,12,78.04321
-186.631257,12,78.533072
-184.482895,12,79.022826
-186.589136,12,79.514886
-184.915321,12,80.198966
-184.493544,12,80.688914
-184.157743,12,81.176697
-183.190037,12,81.662646
-185.47546,12,82.381447
-184.624646,12,82.873555
-184.792786,12,83.362182
-184.717576,12,83.850436
-183.929729,12,84.497756
-184.822465,12,85.005004
-184.890503,12,85.499069
-184.638126,12,85.988339
-184.884352,12,86.63377
-185.587745,12,87.121776
-185.253345,12,87.609857
-185.875236,12,88.101621
-184.222307,12,88.695643
-183.740911,12,89.185809
-185.255488,12,89.673811
-183.768063,12,90.17275
-184.183397,12,90.828779
-185.142818,12,91.325841
-185.291543,12,91.815721
-185.653038,12,92.30752
-184.580588,12,92.974547
-184.008779,12,93.466854
-184.24144,12,93.957755
-184.342375,12,94.445191
-183.556401,12,95.067926
-183.469548,12,95.558316
-183.519477,12,96.04803
-185.322377,12,96.537071
-194.959412,12,97.195949
-183.236612,12,97.687663
-184.463298,12,98.180022
-184.631695,12,98.670532
-184.254341,12,99.329583
-184.345577,12,99.818315
-183.305979,12,100.306208
-185.783195,12,100.795047
-184.693759,12,101.42503
-183.975795,12,101.91936
-183.791586,12,102.411559
-184.90297,12,102.912531
-184.280224,12,103.506558
-183.470649,12,103.997083
-185.042379,12,104.484451
-184.250762,12,104.97162
-185.032726,12,105.605225
-185.735878,12,106.096022
-184.1554,12,106.586055
-184.383762,12,107.075599
-184.88417,12,107.745468
-184.658434,12,108.235976
-184.980476,12,108.724479
-183.847519,12,109.214759
-184.736929,12,109.822438
-188.382087,12,110.317861
-183.473364,12,110.823164
-185.52857,12,111.321515
-184.966782,12,111.950083
-186.501096,12,112.442017
-184.224087,12,112.940817
-184.928633,12,113.431565
-185.346841,12,114.023275
